Strategy,Mean,Median,Standard Deviation,Range,Time
1,139.205,138.52,14.3534,106.711-158.91,540.94ms
2,287.416,288.51,16.2561,239.888-270.318,457ms
3,79.6663,81.0327,12.6714,45.7891-74.8711,592.14ms
4,204.524,204.352,16.293,164.949-210.193,741.08ms
5,406.074,408.129,27.527,337.853-409.379,612.58ms
6,268.237,270.094,23.6618,161.556-275.408,808.72ms
7,348.419,355.456,27.4136,273.741-355.263,614.48ms
8,124.799,131.193,22.5843,76.0794-80.0501,866.24ms
9,338.07,339.304,25.8531,259.02-331.264,1125.58ms
10,129.293,149.822,137.68,138.269-172.133,124.444ms
