Strategy,Mean,Median,Standard Deviation,Range,Time
1,387.846,389.192,13.7716,351.803-353.656,540.9ms
2,463.011,463.142,11.5136,424.446-486.943,436.12ms
3,357.027,359.176,25.2427,303.677-357.486,615.48ms
4,451.777,453.684,12.4136,416.74-434.684,774.5ms
5,505.505,508.389,11.3399,483.886-514.918,658.7ms
6,484.123,486.695,12.2112,439.712-482.154,862.02ms
7,492.423,492.677,10.9722,465.303-480.38,646.14ms
8,439.022,439.157,36.3428,357.094-472.463,909.5ms
9,512.992,514.072,8.18714,497.976-506.296,1178.44ms
10,459.689,471.281,470.145,462.844-460.291,479.451ms
