Strategy,Mean,Median,Standard Deviation,Range,Time
1,266.621,266.269,17.0743,228.666-266.785,552.96ms
2,362.774,365.032,32.1032,292.875-297.644,418.82ms
3,286.131,285.608,30.1792,222.053-304.562,546.74ms
4,349.719,357.832,29.6451,280.637-294.895,745.88ms
5,613.488,623.046,54.8428,499.991-632.029,608.38ms
6,433.031,436.396,35.2295,349.857-433.471,783.92ms
7,493.339,488.922,36.1017,416.238-449.4,615ms
8,463.332,470.157,75.7981,314.919-398.953,891.94ms
9,519.457,525.404,40.4538,370.902-470.749,1161.22ms
10,338.293,398.155,367.509,399.457-348.206,352.776ms
