Strategy,Mean,Median,Standard Deviation,Range,Time
1,0.125018,0.0760727,0.137512,0.00119019-0.0355225,540.1ms
2,0.143974,0.102722,0.137254,0.00152588-0.276855,448.04ms
3,0.111677,0.068222,0.133909,0.00127411-0.0444946,605.42ms
4,0.122691,0.0992966,0.103432,0.000564575-0.0210838,720ms
5,0.601119,0.448303,0.548794,0.0253906-0.0961304,577.14ms
6,0.276562,0.172791,0.300763,0.0098877-0.0172119,780.08ms
7,0.273333,0.158825,0.284841,0.00244141-1.08321,610.64ms
8,0.315029,0.202133,0.338157,0.00152588-0.297333,836.76ms
9,0.350424,0.256779,0.297064,0.00942993-0.171631,1045.28ms
10,0.00152588,0.0355377,0.192291,0.0253296-0.215378,0.0159149ms
