Strategy,Mean,Median,Standard Deviation,Range,Time
1,8788.22,8713.42,1375.68,6092.45-9981.72,505.76ms
2,30069.7,30158.8,3388.28,22807-27343.4,388.4ms
3,2152.89,2115.15,469.04,1340.82-1626.57,529.42ms
4,17648.7,17719.6,1879.52,12201.8-17925,723.16ms
5,53126.8,52645.3,6171.84,35646.9-55730.5,570.28ms
6,24877,24919.4,2745.81,19119.7-24596.7,780.46ms
7,40350,40049.9,5132.77,27527.1-31163.8,606.08ms
8,2602.77,2547.14,855.697,1084.78-3094.3,860.22ms
9,41148.8,42091.5,4855.04,30239.6-41960.3,1131.4ms
10,8783.86,9265.96,7743.61,10825.3-8879.36,8305.19ms
