Strategy,Mean,Median,Standard Deviation,Range,Time
1,55.9285,54.4987,8.55324,38.02-50.4033,504.06ms
2,187.399,187.601,20.2738,150.483-205.413,399.76ms
3,12.9695,12.5847,2.91982,8.26957-14.5847,543.3ms
4,111.386,110.272,11.8618,67.9738-106.483,691.4ms
5,331.819,333.863,37.7461,232.527-325.731,591.4ms
6,160.306,161.552,20.7253,122.416-137.508,744.7ms
7,261.816,264.16,29.4368,194.025-297.951,571.2ms
8,17.6431,16.0743,8.96271,6.38333-44.0634,809.36ms
9,262.69,267.49,27.6116,164.906-267.611,1040.18ms
10,189.315,156.848,219.491,205.584-162.393,209.735ms
