Strategy,Mean,Median,Standard Deviation,Range,Time
1,84.1543,86.8669,13.4316,52.6558-87.4053,546.8ms
2,133.037,128.554,20.8094,97.3088-114.834,465.2ms
3,52.017,51.7684,13.0794,26.1863-59.9046,596.92ms
4,119.973,121.216,18.911,63.0948-138.856,735.04ms
5,375.015,349.796,90.0672,207.511-421.105,597.2ms
6,182.87,184.675,24.1868,134.192-152.457,788.26ms
7,192.192,186.592,24.5404,131.448-226.865,614.28ms
8,134.778,126.418,53.2671,39.0351-164.755,883.92ms
9,246.867,248.043,33.5791,151.793-238.332,1114.4ms
10,123.499,125.626,131.781,103.859-128.818,122.987ms
