Strategy,Mean,Median,Standard Deviation,Range,Time
1,-1.96788,-1.91084,0.300556,-2.88562--1.71497,530.48ms
2,-1.98359,-1.95277,0.307718,-2.60129--1.68562,449.48ms
3,-2.35347,-2.30881,0.319658,-3.20363--2.61806,577ms
4,-1.53717,-1.50771,0.226558,-2.17823--1.75699,706.64ms
5,-1.86519,-1.83479,0.300176,-2.48851--2.29351,571.54ms
6,-1.66811,-1.61361,0.249287,-2.68809--1.85909,764.04ms
7,-1.77697,-1.732,0.316449,-2.59015--1.46308,598.96ms
8,-1.85222,-1.8447,0.255883,-2.67382--1.7725,830.16ms
9,-1.55242,-1.47154,0.241174,-2.38737--1.47298,1062.6ms
10,-2.01115,-1.88088,-1.63115,-2.66018--1.84052,-2.22266ms
