Strategy,Mean,Median,Standard Deviation,Range,Time
1,3.76458e-05,2.09617e-05,4.32905e-05,6.64646e-07-1.63737e-05,548.46ms
2,4.57314e-05,2.59394e-05,5.4252e-05,5.13085e-07-0.000138516,465.46ms
3,3.37221e-05,2.40661e-05,2.8714e-05,1.3007e-06-1.81568e-05,602.32ms
4,3.14631e-05,2.4423e-05,3.02907e-05,2.0587e-06-9.63449e-06,736.34ms
5,7.50294e-05,5.88879e-05,5.7962e-05,5.96555e-07-0.000131197,586.96ms
6,9.39209e-05,5.21833e-05,0.000126291,1.24983e-07-0.000122564,798.9ms
7,0.000107525,0.000101248,8.93199e-05,4.5434e-06-7.0171e-05,616.62ms
8,0.000112368,6.84142e-05,0.000118855,5.93634e-06-6.92491e-05,862.56ms
9,7.33638e-05,6.05683e-05,5.72513e-05,1.95806e-06-2.5445e-06,1099.68ms
10,2.64457e-05,5.69689e-06,5.09978e-05,2.23854e-06-2.44422e-06,5.13085e-07ms
