Strategy,Mean,Median,Standard Deviation,Range,Time
1,6.44468,6.53282,0.772825,4.41108-7.24901,529ms
2,6.865,6.96689,0.6232,5.33527-6.31612,432.6ms
3,6.4188,6.48911,0.62866,4.54905-6.48629,569.46ms
4,7.29361,7.3778,0.52533,6.1022-8.25762,729.46ms
5,9.89573,10.0089,0.460725,8.56913-10.5859,568.56ms
6,8.91024,9.05565,0.574703,7.39523-9.0918,790.2ms
7,8.84146,8.89718,0.629207,6.39421-9.8333,581.54ms
8,9.0467,8.99867,0.548035,8.0404-9.25405,870.18ms
9,9.44355,9.54924,0.471905,7.81019-8.49738,1087.96ms
10,6.15125,4.94522,7.01648,6.48388-5.52884,7.05151ms
