Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,0.06,0,0.237487,0,1,353.08
2,9.66941e+06,9.59357e+06,2.35018e+06,4.92095e+06,1.56536e+07,470
3,0,0,0,0,0,365.5
4,4.58521e+06,4.43637e+06,2.21819e+06,1.0841e+06,1.23345e+07,508.1
5,8.63252e+07,8.83244e+07,1.95273e+07,4.05153e+07,1.24361e+08,666.46
6,0.24,0,1.14123,0,8,512.08
7,2.56414e+07,2.43054e+07,7.11827e+06,8.90872e+06,3.93474e+07,710.44
8,0.06,0,0.237487,0,1,533.96
9,5.6424e+06,4.4291e+06,4.2819e+06,594595,2.0805e+07,768.96
10,2.45363e+08,2.48694e+08,4.61119e+07,1.19716e+08,3.87334e+08,1042.16
