Strategy,Mean,Median,Standard Deviation,Range,Time
1,0.102578,0.0635233,0.100684,0.00408936-0.0617104,529.2ms
2,0.0774579,0.0593948,0.0660821,0.00106812-0.0150452,426.62ms
3,0.101675,0.0640106,0.101784,0.000610352-0.0583649,579.24ms
4,0.130319,0.090332,0.118459,0.00247192-0.252228,754.78ms
5,0.436014,0.323486,0.368235,0.015625-0.487183,610.34ms
6,0.2339,0.206042,0.171191,0.0070343-0.0932617,816.82ms
7,0.207091,0.119355,0.266342,0.0031662-0.421021,624.54ms
8,0.313417,0.25135,0.352254,6.10352e-05-0.000732422,880.86ms
9,0.19035,0.15329,0.16403,0.00509644-0.0103149,1163.82ms
10,0.352692,0.00453186,0.000610352,0.0604858-0.236389,0.0445251ms
