Strategy,Mean,Median,Standard Deviation,Range,Time
1,207019,207883,37123.9,123465-260223,556.98ms
2,766067,756916,99969.8,579746-757949,433.96ms
3,40478.6,38560.3,12159.5,18535.5-46270.2,581.68ms
4,420044,420029,48459.9,310719-438175,728ms
5,1.40169e+06,1.43468e+06,171706,894271-1.64558e+06,690.1ms
6,628009,629472,76125.8,501204-544990,736.8ms
7,1.03119e+06,1.04111e+06,114932,764040-1.10762e+06,563.16ms
8,58013,57414.3,22962,13486.6-51210.6,800.52ms
9,1e+06,1.01227e+06,89204.6,790216-1.15326e+06,1039.76ms
10,178061,222204,198823,222595-224937,167555ms
