Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,1.14159e+09,2.14748e+09,1.04928e+09,1159,2.14748e+09,339
2,6.93525e+07,6.94453e+07,1.83696e+07,3.52724e+07,1.37235e+08,452.94
3,8.45684e+08,2.45048e+08,9.85743e+08,258,2.14748e+09,351.04
4,8.10328e+08,4.50003e+08,7.42972e+08,3.88069e+07,2.14748e+09,507.46
5,6.67499e+08,6.50786e+08,1.32776e+08,4.26236e+08,9.47807e+08,646.78
6,2.06159e+09,2.14748e+09,4.20815e+08,181,2.14748e+09,501.24
7,2.0798e+08,2.10397e+08,5.68643e+07,7.57484e+07,3.17689e+08,693.84
8,2.14748e+09,2.14748e+09,0,2.14748e+09,2.14748e+09,519.74
9,1.91844e+09,2.14748e+09,5.93588e+08,9.46526e+07,2.14748e+09,771.3
10,1.8042e+09,1.82414e+09,3.17115e+08,1.06765e+09,2.14748e+09,1016.94
