Strategy,Mean,Median,Standard Deviation,Range,Time
1,1.05065e+09,1.06307e+09,2.89511e+08,3.3281e+08-9.9934e+08,490.74ms
2,6.16365e+09,6.06224e+09,1.50183e+09,2.5039e+09-5.91029e+09,397.92ms
3,1.58526e+08,1.39173e+08,7.28176e+07,6.15875e+07-1.39263e+08,546.6ms
4,3.8912e+09,3.83734e+09,9.20003e+08,1.91917e+09-5.78569e+09,839.62ms
5,1.94375e+10,1.89905e+10,4.44575e+09,8.88442e+09-2.2631e+10,578.98ms
6,5.47721e+09,5.57092e+09,1.21105e+09,3.04075e+09-4.90605e+09,763.52ms
7,1.16999e+10,1.15176e+10,2.2812e+09,6.46105e+09-1.16393e+10,572.52ms
8,8.72708e+08,6.79351e+08,6.88696e+08,1.30919e+08-2.92586e+08,830.52ms
9,1.86202e+10,1.95067e+10,3.73331e+09,9.98651e+09-1.46391e+10,1103.44ms
10,7.89626e+08,1.15383e+09,1.29179e+09,1.4437e+09-1.43594e+09,9.1318e+08ms
