Strategy,Mean,Median,Standard Deviation,Range,Time
1,-7.7636e+11,-3.44769e+11,1.04248e+12,-5.51947e+12--2.03034e+11,529.66ms
2,-1.48011e+26,-4.6429e+24,inf,-1.33993e+27--1.94077e+25,447.86ms
3,-inf,-inf,inf,-3.40097e+38--3.37062e+38,584.84ms
4,-2.65166e+08,-1.16345e+08,3.95047e+08,-2.07652e+09--4.30428e+06,749.02ms
5,-inf,-inf,inf,-3.40269e+38--3.40047e+38,567.4ms
6,-2.74302e+20,-5.67711e+19,inf,-3.92513e+21--9.33939e+17,774.68ms
7,-inf,-inf,inf,-3.39631e+38--3.29019e+38,609.06ms
8,-inf,-inf,inf,-3.39538e+38--3.37354e+38,1397.4ms
9,-9.69676e+12,-3.71893e+12,1.52244e+13,-6.86695e+13--1.1885e+12,1103.14ms
10,-5.10768e+22,-5.20176e+24,-1.70348e+23,-8.33644e+22--3.4385e+23,-2.88199e+24ms
