Strategy,Mean,Median,Standard Deviation,Range,Time
1,-23.645,-23.5264,0.565645,-25.3471--23.8062,507.22ms
2,-23.2244,-23.1504,0.659485,-24.7756--22.5607,402.26ms
3,-23.7255,-23.6543,0.751848,-25.9981--25.4014,544.22ms
4,-22.2991,-22.3647,0.598242,-23.611--21.5087,686.12ms
5,-19.3641,-19.3038,0.744262,-21.8834--19.9208,549.76ms
6,-20.4864,-20.3578,0.533395,-21.7823--20.6086,743.92ms
7,-20.965,-21.0931,0.60464,-22.4261--20.8795,574ms
8,-20.4911,-20.4142,0.603807,-22.0054--20.1685,807.74ms
9,-19.6878,-19.635,0.507739,-20.7214--19.3265,1036.98ms
10,-23.1832,-23.6121,-23.4841,-22.9806--22.7077,-23.033ms
