Strategy,Mean,Median,Standard Deviation,Range,Time
1,9444.99,9416.2,1669.88,3949.36-9346.2,491.68ms
2,30987.1,31047.9,3113.14,24597.8-31436.4,387.14ms
3,2114.87,2058.69,573.026,1027.88-1904.09,525.36ms
4,18236.2,18371.2,2017.65,12876.7-14962.2,670.08ms
5,56629.9,56676.6,5170.72,42606.5-52346.7,530.72ms
6,25275.7,25045.7,3125.03,17839.4-31891.3,724.7ms
7,40721.2,39980.9,5332.03,27187.8-41634.8,553.34ms
8,3198.73,3138.53,1213.57,1244.38-2051.84,788.7ms
9,40646.9,41927,6023.71,24611-30959.1,1026.94ms
10,10199,10650.1,12241.5,10300.4-10529.9,10956.8ms
