Strategy,Mean,Median,Standard Deviation,Range,Time
1,10.1463,10.1463,1.90735e-06,10.1463-10.1463,547.58ms
2,10.1463,10.1463,1.90735e-06,10.1463-10.1463,433.22ms
3,10.1463,10.1463,1.90735e-06,10.1463-10.1463,617.3ms
4,10.1463,10.1463,1.90735e-06,10.1463-10.1463,763.2ms
5,10.1463,10.1463,1.90735e-06,10.1463-10.1463,646.02ms
6,10.1463,10.1463,1.90735e-06,10.1463-10.1463,796.32ms
7,10.1463,10.1463,1.90735e-06,10.1463-10.1463,711.36ms
8,10.1463,10.1463,1.90735e-06,10.1463-10.1463,864.9ms
9,10.1463,10.1463,1.90735e-06,10.1463-10.1463,1147.46ms
10,10.1463,10.1463,10.1463,10.1463-10.1463,10.1463ms
