Run#,Result,Solution
1,-39.4326,[1.51067 -1.22305 -1.1691 -1.13192 -1.12763 -4.56561 -1.18359 -1.27463 -1.88 -1.14812 -1.13066 -1.41127 -4.52751 -1.45299 -1.40556 -1.0996 -1.20618 -1.22914 -1.14371 -4.24917 -1.63734 -4.48212 -7.40767 -1.20769 -1.12651 -1.15795 -1.78202 -1.2227 -1.72836 -3.89154 ]
2,-46.8224,[-1.54096 -1.43097 -1.16954 -1.13962 -1.16731 -4.44967 -1.07533 -1.39805 -1.09135 -1.50683 -1.17893 -1.10067 -1.53713 -1.08933 -1.2774 -1.36534 -4.30505 -1.47433 -1.16367 -4.25219 -1.41416 -4.68209 -1.71049 -4.28171 -1.12774 -4.24176 -1.24942 -1.14073 -1.06781 -0.910583 ]
3,8.16583,[-1.47607 -4.20824 -1.31263 -1.10414 -1.07525 -1.3048 -1.39752 -1.32459 -1.50231 -7.31407 -1.70869 -1.20834 -1.55843 -1.43415 -1.13302 -1.58133 -1.58563 -1.34011 -7.62474 -14.0484 -1.13113 -1.14427 -1.25889 -10.4955 -7.40543 -10.6022 -1.32859 -1.27612 -4.28908 -4.12808 ]
4,-42.2138,[-4.82358 -1.13031 -1.11276 -4.27326 -4.33229 -1.2486 -1.059 -1.30437 -4.54465 -4.58616 -1.03466 -1.12086 -4.31663 -4.23009 -1.3466 -4.30807 -1.16758 -1.2582 -1.21636 -1.46538 -1.26256 -1.354 -1.54558 -1.44972 -4.27059 -1.15644 -1.26824 -1.1756 -1.16304 -0.733536 ]
5,-25.9515,[-1.57609 -1.08432 -1.27702 -1.1148 -1.22451 -1.44115 -1.21176 -14.0433 -4.41094 -4.56588 -1.02717 -1.06583 -1.09654 -1.12999 -1.14215 -10.5511 -1.00955 -1.12313 -1.17365 -1.30401 -1.29829 -1.24477 -1.17437 -1.13827 -1.10536 -1.20167 -4.9833 -1.3196 -4.45744 -0.862775 ]
6,-18.5702,[-4.95535 -1.39659 -4.66713 -4.40806 -1.18966 -1.32342 -1.1254 -1.17348 -7.88592 -4.24446 -1.13509 -4.51927 -4.97068 -1.2749 -1.10094 -1.09265 -1.22242 -1.55232 -7.5702 -4.29621 -1.11116 -1.50194 -4.93793 -1.23888 -1.18189 -1.33719 -1.24489 -1.15186 -1.35903 -0.683602 ]
7,-44.7582,[-1.63903 -1.20471 -1.23808 -1.21364 -7.45641 -1.31646 -1.44013 -4.20899 -1.29361 -1.10425 -1.24617 -1.34873 -1.66799 -1.10733 -1.16441 -1.46016 -1.25078 -1.06231 -1.35389 -1.04584 -1.30667 -1.27888 -4.20048 -1.18297 -7.50627 -1.29221 -4.34302 -1.42268 -1.08033 -0.823606 ]
8,-20.0217,[-4.72304 -7.35053 -1.11852 -1.23551 -1.17706 -4.1169 -1.17669 -4.3993 -10.8052 -1.36199 -1.46595 -1.1256 -4.33696 -1.34261 -4.22501 -1.05011 -1.21177 -1.07084 -1.1691 -1.12135 -1.10669 -1.72921 -1.18056 -1.21495 -10.6217 -4.26797 -1.14029 -1.09826 -1.18446 -0.672994 ]
9,22.9954,[-11.078 -1.1393 -7.43465 -1.39981 -4.46429 -1.08785 -7.54695 -7.89344 -1.32001 -4.61153 -1.16681 -1.52696 -1.21058 -10.9792 -1.27346 -1.2176 -4.20915 -1.73713 -1.25019 -4.31157 -1.09252 -10.5708 -1.37598 -7.34998 -1.27871 -1.08911 -1.17965 -1.16107 -4.49811 -0.776511 ]
10,-52.1822,[-11.0661 -1.24784 -1.17924 -1.16591 -1.38365 -1.12271 -1.21807 -1.18195 -1.16807 -1.36933 -1.04201 -0.986442 -1.10817 -1.19413 -1.14669 -1.14573 -1.72906 -1.31532 -4.20564 -1.16375 -1.20203 -1.06994 -1.12666 -1.55671 -1.22376 -1.09724 -1.34712 -1.14788 -8.14952 -0.756711 ]
