Run#,f best
1,[527.779 527.779 526.913 521.414 490.766 490.766 490.766 484.372 471.721 451.616 449.562 444.967 432.976 429.273 402.53 402.53 401.669 399.733 368.997 367.91 359.804 352.384 340.889 331.32 326.317 326.317 310.988 310.988 310.988 296.344 296.344 296.344 292.071 290.959 281.241 281.241 273.364 273.364 270.957 267.205 264.813 251.325 251.325 251.325 251.325 248.704 248.704 236.369 236.369 236.369 236.369 236.041 234.374 231.318 226.482 224.762 223.439 217.028 217.028 215.301 212.756 211.446 211.446 208.87 206.741 202.414 202.414 197.451 195.799 190.786 188.146 188.146 185.477 183.588 181.572 181.572 180.739 180.739 180.739 180.279 180.279 180.279 179.736 178.567 178.567 178.567 178.567 178.106 177.727 177.604 175.399 175.399 175.399 175.348 174.3 174.3 173.314 173.314 172.929 172.277 170.789 169.789 169.789 169.789 169.789 167.957 167.601 167.601 166.914 166.914 166.616 166.152 165.169 165.169 165.169 163.098 163.098 163.098 163.098 162.847 162.847 162.847 162.824 162.346 161.947 161.947 161.947 161.947 161.947 161.947 161.947 161.304 161.304 161.304 161.304 161.304 161.304 161.179 161.179 161.179 160.92 160.92 160.888 160.888 160.764 160.764 160.764 160.764 160.717 160.717 160.717 160.662 160.302 160.302 160.302 160.302 160.302 160.255 160.2 159.95 159.95 159.95 159.95 159.95 159.855 159.855 159.831 159.831 159.831 159.605 159.534 159.534 159.502 159.502 159.502 159.502 159.479 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 159.039 158.367 158.367 158.367 158.318 158.318 158.318 158.318 158.318 158.318 158.318 158.318 158.318 158.318 158.318 157.551 157.551 157.173 157.173 157.173 157.173 157.173 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.139 157.133 157.133 157.133 157.108 156.484 156.484 156.484 156.484 156.484 156.484 156.484 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 156.478 ]
2,[519.463 519.463 519.463 513.7 498.659 488.624 488.624 485.326 478.441 462.001 443.089 436.039 424.873 417.111 417.098 379.389 379.389 366.469 351.392 351.392 343.285 333.806 333.806 322.528 309.396 309.396 309.396 309.396 294.591 290.211 290.211 282.202 282.202 276.164 268.877 265.969 262.402 254.526 253.803 248.826 238.771 236.462 229.934 221.696 217.185 216.474 214.86 213.641 213.641 213.641 210.59 206.091 200.293 200.293 198.306 194.378 191.918 191.918 190.237 189.402 189.402 185.804 184.594 183.838 180.612 175.749 175.749 175.749 175.749 175.749 175.192 172.009 169.247 168.549 168.549 168.549 166.515 162.984 162.984 162.984 162.018 161.897 159.942 159.109 157.373 157.373 155.742 155.742 155.742 155.742 155.691 153.709 153.709 153.228 150.746 150.746 149.705 149.705 149.705 148.548 148.022 146.4 146.4 146.4 146.4 146.4 145.076 145.076 144.287 144.287 144.144 142.897 142.876 142.876 141.979 139.984 139.984 139.984 139.984 139.8 139.8 137.783 137.783 137.783 137.783 137.783 137.783 135.479 135.479 135.479 135.479 135.479 135.479 135.479 135.479 134.797 134.303 134.303 134.303 133.694 133.694 133.694 133.578 133.578 132.925 132.925 132.925 132.316 132.316 132.316 132.316 132.316 132.316 132.316 132.316 132.316 130.749 130.749 130.749 130.749 130.749 130.749 130.749 130.749 130.701 130.701 130.701 130.701 130.668 130.668 130.668 130.668 130.668 130.668 130.316 130.316 130.316 130.316 130.283 130.283 130.159 130.159 130.06 130.06 130.06 129.774 129.774 129.774 129.693 129.693 129.693 129.675 129.675 129.675 129.675 129.603 129.603 129.603 129.603 129.603 129.603 129.521 129.521 129.521 129.521 129.521 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 129.503 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.79 128.555 128.555 128.555 128.555 128.555 128.555 128.555 128.555 128.555 128.109 128.109 128.109 128.109 128.109 128.109 128.109 128.109 128.109 128.109 128.109 128.109 128.109 127.993 127.993 127.993 127.993 127.993 127.993 127.993 127.993 ]
3,[525.069 525.069 523.418 488.21 488.21 488.21 487.006 448.22 448.22 448.22 436.505 436.505 414.458 410.013 388.501 381.23 368.486 368.486 349.416 342.831 342.831 318.607 311.004 297.145 289.594 281.191 281.191 274.755 266.67 265.836 257.958 247.767 247.767 234.498 234.498 229.879 229.879 229.879 221.996 221.996 220.914 219.058 216.887 215.572 209.577 209.577 208.769 205.083 201.724 201.724 201.715 200.662 199.103 195.483 195.483 195.483 193.175 193.175 193.175 190.953 189.807 185.217 185.217 185.217 184.785 183.68 182.226 182.226 178.177 176.766 176.206 176.206 169.521 168.102 168.102 166.486 166.486 165.848 165.848 165.848 164.814 164.814 164.814 163.136 163.136 163.136 162.698 162.698 162.698 162.278 160.613 160.613 160.613 160.259 159.507 159.507 159.507 158.164 158.164 157.811 157.589 157.589 155.885 155.885 155.885 155.885 155.885 155.885 155.885 155.471 155.45 155.45 153.695 153.695 153.342 152.763 151.536 151.536 151.364 150.425 150.425 150.425 150.425 150.425 149.521 148.582 148.582 148.58 148.58 148.58 148.58 148.58 148.58 148.214 148.214 148.214 148.214 148.214 148.211 147.954 147.954 147.954 147.954 147.954 147.828 147.521 147.521 147.521 147.521 147.521 147.521 147.136 147.136 147.136 147.133 147.133 147.133 147.133 146.89 146.89 146.89 146.833 146.831 146.831 146.809 146.809 146.809 146.749 146.749 146.749 146.749 146.749 146.749 146.749 146.631 146.631 146.631 146.631 146.631 146.631 146.631 146.631 146.631 146.631 146.631 146.631 146.631 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.356 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.349 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.348 146.347 146.347 146.347 146.347 146.347 ]
4,[523.387 523.387 523.387 514.657 514.657 503.208 487.085 484.923 484.923 466.773 466.773 451.888 451.888 446.005 428.62 428.62 426.003 407.865 396.311 392.346 387.422 378.224 367.512 367.512 361.673 359.139 345.069 334.594 326.436 326.436 326.436 314.923 314.923 314.923 314.896 303.289 301.984 296.206 296.206 283.886 276.006 276.006 276.006 276.006 276.006 273.861 269.305 269.054 266.35 264.602 260.049 260.049 258.668 257.009 250.69 250.69 250.69 250.69 244.591 244.591 240.457 240.457 238.564 238.564 238.036 238.036 226.377 226.377 226.377 226.348 225.565 219.436 219.436 219.436 219.436 216.437 213.036 211.365 211.365 211.365 208.829 208.829 208.829 208.8 207.473 207.473 205.387 205.387 205.387 202.85 201.106 201.106 199.849 198.995 198.995 198.59 197.054 195.38 195.38 194.052 194.052 194.052 194.052 193.018 189.731 189.731 189.731 186.692 186.692 186.692 186.692 186.692 179.837 179.837 179.837 179.837 179.837 179.237 177.852 177.852 177.209 177.209 177.209 177.209 176.746 176.746 175.999 175.399 175.139 174.211 172.542 172.542 172.542 172.542 172.542 172.542 172.542 172.333 172.184 172.184 172.184 172.184 170.449 170.449 170.449 170.449 170.367 169.998 169.849 169.747 169.747 167.234 167.234 167.234 167.085 167.085 167.085 167.085 166.834 166.112 164.68 164.68 164.68 164.531 164.531 164.531 164.531 163.958 163.707 163.707 163.707 163.707 163.707 163.518 163.37 163.37 163.37 163.37 163.37 163.37 163.37 163.37 163.37 163.37 163.37 163.312 163.312 163.312 163.312 163.312 163.312 163.312 163.312 163.312 163.312 163.312 162.465 162.465 162.465 162.465 162.465 162.465 162.465 162.407 162.407 162.282 162.282 162.231 162.231 161.973 161.973 161.973 161.973 161.973 161.973 161.796 161.67 161.67 161.613 161.613 161.613 161.613 161.613 161.613 161.307 161.307 161.307 161.307 161.249 161.249 161.249 161.249 161.144 161.144 161.087 161.087 161.087 161.087 161.087 161.087 161.087 160.955 160.955 160.955 160.955 160.955 160.955 160.955 160.943 160.943 160.943 160.943 160.943 160.943 160.926 160.926 160.926 160.926 160.807 160.807 160.761 160.757 160.485 160.485 160.485 160.485 160.485 160.485 160.485 160.485 160.485 160.346 160.346 160.346 160.346 160.346 160.346 160.118 160.118 160.071 160.071 160.021 160.021 159.86 159.814 159.814 159.814 159.814 159.814 159.81 159.764 159.764 159.764 159.764 159.764 159.764 159.764 159.764 159.764 159.764 ]
5,[522.134 515.217 515.217 515.217 501.443 491.679 469.487 466.94 440.051 440.051 438.771 412.408 412.408 399.343 396.522 383.007 383.007 365.206 365.206 365.206 349.822 329.8 322.032 300.007 299.356 286.208 286.208 286.208 269.394 267.34 267.34 238.094 235.129 229.975 229.975 228.547 226.389 218.031 210.041 193.123 193.123 185.962 185.962 183.861 183.861 167.442 157.568 154.412 154.412 154.412 154.412 149.898 149.898 149.898 148.239 141.715 141.715 141.132 133.423 133.423 133.423 132.987 130.601 129.602 129.602 129.602 128.64 127.383 124.663 124.663 123.841 123.148 123.148 123.148 121.482 121.028 121.028 120.392 119.273 119.231 119.231 119.115 117.915 116.638 116.164 115.685 114.775 114.775 114.775 114.047 110.664 110.664 110.664 108.867 108.867 106.044 106.044 104.16 104.16 103.494 101.059 101.059 100.913 100.867 100.072 100.072 99.7101 99.7101 99.4641 98.7316 98.6716 98.3108 98.3108 97.7117 96.5299 96.5299 96.5299 96.5299 96.5299 96.5299 96.5299 96.5299 96.5299 96.5299 96.5299 96.5299 95.9319 95.0961 95.0961 95.0961 95.0961 95.0961 95.0961 94.5407 94.5407 94.5407 94.5407 94.5407 93.5035 93.5035 93.5035 92.9055 92.2487 92.2487 92.2487 92.2487 92.2487 92.029 92.0128 91.3722 91.3722 91.356 91.356 91.356 90.9415 90.2847 90.2847 90.2847 90.2685 90.2685 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 90.1822 89.5354 89.5354 89.5354 89.5354 89.5354 89.5354 89.5354 89.5354 89.348 89.348 89.348 89.348 89.348 89.348 89.348 89.3338 89.3338 89.3338 89.3338 89.3338 89.3332 89.1101 89.1101 89.1101 89.0245 89.0245 89.0245 89.0245 88.892 88.892 88.892 88.892 88.892 88.5827 88.5827 88.5679 88.5679 88.5679 88.5545 88.5545 88.5226 88.5226 88.5226 88.5226 88.5226 88.5226 88.5226 88.5226 88.5226 88.4367 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.4085 88.034 88.034 88.034 88.034 88.034 88.034 88.034 88.034 88.034 88.034 88.034 88.034 87.9323 87.9323 87.9323 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.7818 87.6665 87.6665 87.6665 87.6665 87.6665 87.6665 87.6665 87.6391 87.6391 87.6391 87.624 87.624 87.5966 87.5966 87.5966 87.5966 87.5966 87.5966 87.5966 87.5966 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 87.5905 ]
6,[519.823 519.823 519.823 519.823 518.438 489.21 489.21 482.76 435.229 435.229 435.229 433.04 433.04 409.828 394.923 390.607 372.939 372.939 363.384 354.771 331.836 331.49 316.214 310.282 309.906 294.79 288.392 288.392 277.286 277.286 269.284 263.881 252.059 242.366 236.726 236.726 236.726 236.726 235.794 235.794 230.125 227.89 224.225 219.417 216.374 212.621 207.742 207.742 207.742 205.754 204.844 204.844 199.073 195.866 195.866 194.617 193.078 193.078 189.959 187.856 187.856 187.856 187.856 184.451 183.56 178.721 178.721 176.825 174.718 173.292 172.971 170.578 169.289 168.586 166.574 166.574 163.938 163.938 163.938 163.938 163.938 163.793 163.793 163.099 162.351 162.351 161.189 161.189 160.463 160.463 160.463 160.463 160.463 160.463 159.391 159.391 158.207 157.219 157.219 157.219 155.458 155.458 154.962 154.962 154.962 154.962 154.962 154.962 154.725 151.475 151.475 151.475 151.475 151.475 151.217 150.979 150.979 150.979 150.979 150.796 150.796 150.796 150.613 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 148.274 147.997 147.997 147.997 146.828 146.828 146.828 146.192 146.192 145.827 145.827 145.827 145.827 145.692 145.056 145.056 145.056 145.056 144.677 144.677 144.677 144.677 144.677 144.677 144.677 144.677 144.677 144.677 144.677 144.677 144.677 144.423 144.423 144.423 144.423 144.423 144.423 144.423 144.423 144.423 144.423 144.227 144.221 143.928 143.928 143.928 143.828 143.68 143.591 143.485 143.485 143.485 143.485 143.485 143.412 143.412 143.412 143.228 143.075 143.075 143.075 142.885 142.885 142.885 142.723 142.723 142.723 142.723 142.723 142.723 142.723 142.454 142.454 142.454 142.448 142.448 142.448 142.448 142.448 142.447 142.347 142.347 142.347 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.33 141.319 141.319 141.319 141.294 141.294 141.294 141.294 141.229 141.224 141.224 141.224 141.186 141.186 141.182 141.182 141.182 141.143 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.137 141.102 141.102 141.058 141.058 141.058 141.052 141.052 ]
7,[542.043 537.788 524.329 513.249 513.249 506.09 490.136 490.136 475.58 453.941 453.941 448.585 436.805 418.587 417.802 412.991 386.812 386.812 386.812 381.96 374.88 364.086 358.155 348.536 348.536 348.536 341 322.864 320.033 314.511 314.496 296.94 296.94 296.94 293.114 293.114 280.214 244.578 244.578 244.578 244.578 244.578 244.578 244.578 241.65 241.65 241.096 241.096 238.491 238.168 238.168 237.037 234.924 234.924 231.646 231.646 231.567 231.567 231.567 230.106 228.619 228.619 228.365 228.365 228.365 228.201 223.763 223.763 223.763 223.684 223.684 223.675 223.675 223.675 223.045 223.045 221.41 221.41 221.41 218.892 218.892 218.892 218.892 218.892 218.892 218.786 218.786 218.415 218.415 218.415 218.195 218.195 218.195 217.879 217.879 217.73 216.531 216.531 216.531 216.531 216.531 216.531 216.531 216.531 215.384 215.384 215.384 215.384 215.384 215.384 215.384 214.934 214.934 214.934 214.934 213.735 213.537 213.537 213.537 213.166 213.166 213.142 213.142 213.073 213.073 213.024 212.956 212.956 212.956 212.943 212.942 211.967 211.967 211.967 211.757 211.757 211.757 211.757 211.558 211.558 211.558 211.558 211.136 211.136 211.136 211.136 211.136 211.136 211.136 211.101 211.101 211.101 211.101 211.068 210.678 210.678 210.678 210.678 210.497 210.497 210.497 210.497 210.497 210.497 210.497 210.497 210.497 210.377 210.377 210.377 210.377 210.377 210.377 210.372 210.372 210.372 210.372 210.372 210.372 210.372 210.106 209.839 209.839 209.839 209.839 209.839 209.839 209.839 209.839 209.839 209.747 209.747 209.742 209.742 209.742 209.413 209.413 209.205 209.168 209.168 209.168 209.168 209.168 209.168 209.168 209.168 208.847 208.847 208.847 208.847 208.847 208.847 208.847 208.847 208.847 208.847 208.847 208.847 208.847 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.757 208.749 208.749 208.749 208.749 208.659 208.659 208.6 208.6 208.6 208.6 208.6 208.6 208.561 208.561 208.561 208.561 208.511 208.511 208.502 208.421 208.421 208.421 208.421 208.421 208.413 208.413 208.413 208.413 208.404 208.338 208.338 208.338 208.338 208.33 208.33 208.33 208.321 208.321 208.321 208.321 208.321 208.321 208.321 208.321 208.321 208.321 208.321 208.321 ]
8,[540.009 540.009 526.082 504.167 504.167 504.167 483.069 482.176 475.732 471.045 454.033 446.187 427.827 424.806 406.989 391.301 391.301 391.301 378.561 375.74 349.288 349.288 338.751 338.751 338.43 330.862 310.638 310.638 300.213 295.684 292.361 287.437 283.279 283.279 276.72 276.698 276.698 265.417 265.417 265.417 261.964 257.545 257.545 254.161 253.471 251.358 245.726 243.301 242.249 237.799 232.588 226.956 226.956 225.06 224.938 221.209 215.073 213.488 209.762 207.746 202.804 202.804 201.896 201.896 201.896 201.896 199.608 199.094 197.793 196.947 195.237 192.42 192.42 192.42 192.42 182.737 177.49 177.49 176.855 172.798 172.276 172.276 170.821 170.821 170.821 170.299 168.422 166.431 166.431 166.431 166.431 165.578 165.578 165.448 165.448 164.149 163.611 162.605 161.334 161.334 161.334 160.175 160.175 159.609 159.609 157.617 157.617 154.894 154.894 154.565 154.565 154.565 154.565 154.29 154.29 154.127 154.127 152.446 151.404 151.404 151.404 151.404 151.404 151.404 151.394 150.735 150.735 150.735 148.342 148.342 148.342 148.342 148.342 148.33 148.33 148.328 148.328 148.328 148.328 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.729 146.259 146.259 145.796 145.796 145.324 145.324 145.324 145.324 145.324 145.324 144.926 144.926 144.926 144.926 144.926 144.926 144.926 144.926 144.926 144.632 144.632 144.632 144.632 144.632 144.632 144.632 144.632 144.632 144.598 144.598 144.598 144.598 144.598 144.598 144.598 144.598 144.598 144.598 144.598 144.598 144.598 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.559 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 144.492 143.671 143.671 143.671 143.671 143.671 143.671 143.671 143.659 143.614 143.614 143.614 143.614 143.582 143.582 143.582 143.582 143.582 143.57 143.57 143.57 143.57 143.57 143.57 143.57 143.57 143.57 143.57 143.57 143.57 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 143.562 ]
9,[515.584 515.584 515.584 515.584 502.667 487.917 487.917 453.95 453.95 437.958 433.275 418.668 418.668 406.471 395.712 390.923 373.067 338.888 338.888 338.888 332.166 322 322 305.678 305.678 290.601 290.006 290.006 275.325 273.631 273.477 273.477 264.73 264.73 260.402 250.301 250.301 242.432 239.815 234.652 234.652 230.695 228.836 215.122 215.122 209.135 208.98 208.98 208.729 208.729 207.067 200.931 200.931 198.387 197.062 197.062 195.551 193.492 193.492 192.505 192.505 190.888 187.326 187.326 187.326 184.293 184.293 184.293 183.271 183.271 180.874 179.376 179.025 178.883 177.199 177.199 177.199 176.401 176.259 175.442 175.027 172.744 171.804 171.804 170.741 169.791 167.55 167.55 165.312 165.312 164.738 163.624 163.624 163.624 162.528 161.954 161.954 161.296 160.741 160.302 160.302 160.302 160.302 160.302 160.083 159.583 159.583 159.09 159.09 158.104 158.104 158.104 158.104 157.879 157.879 157.879 157.433 157.433 157.372 156.789 156.387 155.774 155.607 155.607 155.607 155.597 155.064 154.115 153.777 153.777 152.792 152.792 152.792 152.792 152.792 152.792 152.792 152.792 152.792 152.792 152.792 152.792 152.534 152.534 152.534 152.534 152.534 152.534 152.534 152.534 152.534 152.534 152.534 152.534 152.534 152.477 152.477 152.477 152.382 152.355 152.325 152.298 152.219 152.192 152.04 152.04 152.04 152.04 152.04 152.04 152.04 152.04 152.04 152.04 152.04 152.04 151.988 151.988 151.988 151.988 151.988 151.988 151.988 151.988 151.988 151.982 151.923 151.923 151.923 151.923 151.923 151.848 151.848 151.848 151.807 151.807 151.807 151.807 151.807 151.791 151.776 151.776 151.776 151.749 151.705 151.705 151.705 151.705 151.705 151.705 151.705 151.705 151.705 151.705 151.705 151.705 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.563 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.556 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 151.533 ]
10,[533.104 508.216 508.216 508.216 503.294 503.294 490.433 472.759 472.759 462.655 443.22 430.672 424.56 416.803 401.657 385.368 385.368 384.92 377.057 360.964 357.813 357.813 348.332 335.096 316.138 316.138 316.138 306.428 301.505 293.301 263.531 250.736 250.736 250.736 250.736 250.209 247.025 236.799 231.801 229.332 214.509 209.244 209.244 208.052 208.052 195.348 190.015 177.925 177.925 177.184 177.184 174.047 172.566 169.542 169.116 164.823 164.823 163.547 161.112 161.112 156.143 156.143 156.143 156.143 153.252 151.842 150.567 150.567 148.355 147.662 146.973 143.941 143.941 143.941 143.941 143.219 141.951 141.342 140.098 139.379 138.457 138.457 138.42 137.525 136.257 136.257 135.565 135.565 132.993 132.993 132.993 132.993 132.993 132.993 130.502 130.502 129.543 129.543 129.543 129.543 129.543 129.543 129.543 129.543 128.588 128.588 128.588 128.588 128.588 128.588 128.588 128.588 127.083 127.083 127.083 127.083 127.083 127.083 127.083 127.083 127.083 127.083 127.083 127.083 127.083 127.083 126.536 126.536 126.536 126.536 125.245 125.245 125.064 124.617 124.617 123.838 123.112 123.112 123.112 123.112 123.112 122.864 122.864 122.864 122.864 122.864 122.765 122.765 122.765 122.735 122.735 122.735 122.735 122.735 122.636 122.636 122.636 122.636 122.636 122.636 122.636 122.47 122.47 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.93 121.588 121.588 121.588 121.468 121.376 121.376 121.376 121.376 121.051 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 121.025 120.974 120.944 120.944 120.944 120.621 120.621 120.621 120.621 120.621 120.54 120.54 120.54 120.492 120.492 120.492 120.464 120.464 120.124 120.124 120.124 120.124 120.124 120.124 120.124 119.555 119.555 119.555 119.555 119.555 119.268 119.268 119.268 119.268 119.268 119.268 119.268 119.268 119.268 119.268 119.268 119.258 119.258 119.258 119.258 119.258 119.258 119.258 119.258 119.251 119.119 119.119 119.119 119.119 119.109 119.109 119.109 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.102 119.049 119.049 119.049 119.049 119.049 119.049 119.049 119.049 119.049 119.049 119.049 119.049 119.049 119.049 ]
