Run#,Result,Solution
1,156.478,[-0.113824 -0.260426 -0.0135059 -0.758678 -0.121423 -0.13199 -0.586575 0.0567088 -2.92194 -1.74041 -3.89847 -0.749023 -1.42882 -0.148771 -0.0134014 0.00298807 -0.113947 0.24743 -6.03594 -2.7918 -3.18473 -0.0643638 0.0805749 -2.88847 0.0829204 0.0558541 -2.20158 -0.97082 0.107388 -1.68157 ]
2,127.993,[-4.94344 -0.780009 -0.0168951 0.0984707 0.102571 -1.12804 0.0521732 -2.7081 -2.00196 -1.73607 0.0631237 -0.885205 -2.94222 -5.75214 -0.0204706 -0.387234 -0.114782 0.0633354 0.0636711 0.097675 0.0558337 -0.567114 -0.101266 -0.719543 -0.465943 -0.0680865 0.0324607 -1.7526 -0.101654 0.141604 ]
3,146.347,[-0.934431 -0.0218258 0.0527189 0.1306 -0.176083 0.065772 0.0801513 0.062932 -1.04659 -0.782867 -0.873739 0.0375786 -0.121506 -0.895796 -0.906203 -3.7991 -1.82821 -1.00768 -32 -0.0054419 -0.00165701 -0.622119 0.0816097 -1.05507 -3.94751 -1.16768 -0.782745 0.0682224 0.0914156 -0.967913 ]
4,159.764,[-1.1408 0.10289 -2.8312 -0.824345 0.189349 -0.399745 0.0606462 -9.88324 -12.8213 0.0399543 -0.479826 -0.0611182 -0.654136 0.0614126 -0.759689 -0.93792 -0.166276 0.0230408 -0.760468 0.0830929 -6.78974 0.13084 -0.690362 -1.17547 0.158586 0.101513 0.125674 -0.485956 -0.464235 0.172606 ]
5,87.5905,[0.020022 0.00283328 0.109242 -0.787998 0.155712 -1.07568 0.0185699 -0.883179 0.0635743 -0.0436845 -2.99303 -0.809676 -0.311387 -0.0378472 0.0989646 -0.708912 -0.0449998 -0.145712 -0.00586857 0.0543381 0.0510678 0.0930732 -1.02822 -1.80821 0.0602329 0.0544126 -0.83796 -0.84104 0.171615 -0.760015 ]
6,141.052,[-0.295704 0.138939 -0.154781 0.113405 0.125289 -0.00158763 -0.7209 0.116328 -0.687904 -5.0456 -0.884373 -0.717175 -0.791564 -4.77987 0.0451474 0.0336788 -0.691273 0.041917 -1.87683 -0.843326 -0.86898 -4.72526 0.119816 -0.768786 -2.05604 -0.0604739 -0.15214 -0.974432 -0.711345 -0.0954802 ]
7,208.321,[-0.031776 0.0377628 -2.78963 -2.73253 -3.19298 -4.2372 0.136433 -0.477121 0.00787652 -0.685981 -0.197086 0.128935 -1.78276 -6.02388 0.117199 -2.84469 -7.79122 -0.716694 -0.0744651 0.0850876 -3.65792 -0.00947094 0.0118682 -0.751028 0.105801 -5.04557 0.190477 -3.23015 0.0963909 -2.929 ]
8,143.562,[-0.0580916 0.0973118 -0.744831 -0.025674 0.119433 -2.09423 -0.855732 -1.81199 -0.759077 -1.26254 -1.70062 -0.0961132 -1.17978 -2.0283 -0.848845 0.144394 -4.59302 -1.98939 -1.74685 -1.41318 -0.0520916 -0.714104 -0.229797 -0.180536 0.123704 -1.95694 0.104706 -0.0110625 0.125109 -2.03432 ]
9,151.533,[-0.142792 0.0499742 0.0313855 -0.630449 -1.09789 -0.920133 -4.86719 -1.06026 -2.03491 -1.91385 -1.764 -0.923029 -0.75855 -0.255393 -0.106734 -0.257254 0.0963416 -0.0803888 -1.72413 -1.81147 -4.14454 -0.249198 0.0269033 -0.669017 -1.53644 -0.0516763 -0.787893 0.140692 -1.00377 -5.78349 ]
10,119.049,[-2.18923 0.0452585 0.0718803 -0.341442 -0.130179 -0.79473 -1.86928 -0.868615 -1.72972 -1.67223 -1.02573 -0.0625106 0.0887234 -0.254006 -1.2494 -0.0894585 -1.76573 -0.155056 0.0224736 0.00290103 0.0282362 0.11143 -1.73981 -0.0331749 -1.75374 -1.83759 -0.886147 0.233031 -0.632967 -0.167324 ]
