Run#,Result,Solution
1,4.95867,[1.0004 0.793972 0.643574 -0.144895 0.35669 0.940197 -0.546879 0.802637 0.964497 -0.711784 -0.117963 -0.12547 -0.105285 0.98497 -0.517313 -0.494263 -0.116194 0.730749 0.976042 -4.24809 0.503286 0.932377 0.367211 -0.444485 -0.980283 -0.542644 0.942927 1.03835 0.868727 0.954443 ]
2,4.75974,[0.631687 0.218573 0.888406 -0.141191 -0.132731 0.768399 -0.260958 0.440936 0.893631 0.914083 -0.0247937 0.769287 0.614882 0.975059 -0.0446284 1.05094 -1.16174 1.0058 0.998651 1.01481 0.814555 -4.38387 0.921472 0.443145 1.0325 -0.158306 0.681554 0.857439 0.925545 0.943892 ]
3,10.443,[0.524522 0.454936 0.902006 -0.0526342 0.947397 0.994268 0.452731 1.02321 -0.145579 0.758054 -4.38578 0.781246 -0.267447 -4.3112 -1.02605 -0.759538 -0.1003 0.845757 0.605099 0.983275 -0.87122 -0.513494 -4.24269 0.972543 0.846515 0.872061 -4.21445 0.843096 1.03841 0.983007 ]
4,8.23656,[0.974056 0.748568 -0.264233 -0.506694 0.98694 -1.09638 0.937866 -0.199626 0.458777 0.860837 -0.102774 0.939349 1.01235 0.684121 0.9908 -0.606261 0.933088 0.970357 -0.0987052 -0.260138 -0.918907 0.947751 0.942357 -4.53357 -4.25576 -0.115867 -0.687124 -0.201107 0.41876 0.971203 ]
5,2.51753,[0.306021 0.786139 0.290747 0.841779 0.792864 0.398862 -0.357498 0.803313 -0.590702 -0.139176 0.0197706 1.00991 -0.494049 -0.267933 0.949101 1.16112 0.432227 -0.455547 0.431085 0.848843 0.34333 0.741637 -0.130463 0.832874 0.787928 0.109379 1.00912 -0.196953 -0.665905 0.99285 ]
6,3.44007,[0.981623 -4.27429 0.849834 0.447816 0.908829 -0.411662 -0.639932 0.625213 0.773592 0.979903 -0.108943 0.981438 -0.120132 0.97192 1.02937 0.713344 -0.812834 1.02003 0.782886 0.626497 0.818397 0.628285 0.991877 -0.116465 0.797871 0.952003 0.51566 0.642759 0.919475 0.999898 ]
7,1.99294,[0.985141 0.896751 -0.288141 0.957815 1.0013 0.676375 -0.712147 -0.292434 0.612653 -0.186452 0.844849 0.780312 0.981694 0.89194 0.959252 -0.151644 0.48964 0.924319 0.807389 1.00372 1.01589 -0.601965 1.01174 1.01086 -0.316397 0.984789 0.582806 1.00767 -0.820925 0.996037 ]
8,2.14365,[0.991159 -0.523648 -0.13858 -0.0856925 0.63844 0.55742 0.995187 0.960371 0.743767 0.961138 0.985529 0.454905 -0.236704 0.850598 -0.128876 0.890119 0.975009 0.413271 -0.451523 0.77797 0.802847 1.00532 -0.482069 -0.903407 -0.221807 0.429615 0.985401 0.993885 0.978217 0.989972 ]
9,15.3915,[0.968334 0.594734 0.778824 -0.410723 0.832181 1.00134 -0.888562 0.829299 0.537633 -0.388273 0.496555 -0.356115 1.01584 -0.745237 0.90103 0.976988 -4.24461 -1.11558 -0.0368742 0.808302 -0.259907 -4.26535 0.347123 0.967095 0.970613 -4.25661 -8.45794 0.977407 0.884693 0.9746 ]
10,5.16351,[-0.234167 0.779562 -0.192007 0.640365 0.972304 0.997532 1.00142 -0.661255 -0.610131 0.924519 0.965644 -0.465356 -0.292727 1.00723 0.405256 -0.0994414 0.579308 0.570964 -0.120424 -0.339713 0.757377 1.01957 -0.827676 0.984071 0.595937 -4.25014 0.887657 0.934984 -0.0843611 0.925097 ]
