Run#,Result,Solution
1,-11.5824,[0.572813 -3.25434 -4.62179 -3.01484 -0.921369 -2.72499 -0.875628 1.55578 -0.866572 27.34 1.58427 -0.430025 -1.52197 0.0532112 -0.134855 1.58793 -0.600217 -15.4093 21.3818 -0.928115 -1.04097 -0.906742 -26.5568 -9.69929 -6.58063 -28.4265 -1.54891 0.00400677 0.0652068 -1.58802 ]
2,-14.9062,[-3.12383 -0.401139 -1.42135 1.33492 -1.09457 1.48513 -0.192015 -18.8313 8.57723 23.1451 -10.607 -1.52663 -0.270246 -1.45449 -21.4531 -0.0923101 -1.53091 -0.411184 -3.08135 -0.0426474 -1.60724 0.298972 1.41284 -0.999736 -1.0543 -0.788279 -1.20356 1.40841 0.352208 -1.71801 ]
3,-10.8376,[19.8536 -1.48124 0.70316 -1.70365 -0.23966 -6.13997 -0.844965 -1.1711 -15.7089 -6.48311 -0.0964477 0.0177755 -0.104687 -1.53617 29.065 15.5513 -11.1762 0.221383 -1.56082 0.377268 -13.8192 0.479754 -1.74459 0.409674 -1.76012 -2.0734 -20.0093 -1.46611 1.02068 -1.60509 ]
4,-11.8766,[0.0920329 -1.57721 -23.9458 -2.96395 -0.715992 -1.20175 -2.83531 1.78476 -3.32295 -18.5425 -1.55627 0.470184 1.31037 -1.14253 -2.85626 -1.21448 -4.19982 -1.10342 1.41882 -0.684759 -1.36488 -0.494222 -20.4889 -0.285076 -2.9841 1.27094 -1.28103 1.22666 -1.24075 -0.699265 ]
5,-9.77385,[7.45729 -30 -1.30425 1.22475 -6.71358 -0.826002 1.53215 -0.949097 -26.0517 -18.0681 -1.03123 1.39518 -1.26315 -0.628633 -1.24835 -0.645218 -30 -4.52137 20.7812 -24.0164 -21.5715 -0.695477 -7.52276 -1.11383 1.42689 -0.0580838 -1.58513 0.0191154 -0.0159578 -4.80406 ]
6,-13.7439,[-19.9748 -1.3353 -0.46779 -27.9808 -3.64934 -29.3133 -0.985504 1.45897 -1.14314 1.44628 -1.14678 1.35558 0.556837 -1.57729 0.11892 1.50382 -0.908832 1.53192 -0.816356 -7.52652 -1.25179 1.27244 -1.26431 1.53051 -0.794922 -19.3367 -0.91502 1.48223 -1.08227 26.0639 ]
7,-15.7882,[-2.53391 -1.23499 1.45757 -0.978489 1.46691 -0.749315 -1.41641 -0.507802 -23.0077 -1.29594 -0.676445 -3.0132 -0.957423 -1.11678 -1.19151 1.40292 -1.11233 1.3877 -11.4806 -27.1423 -5.64758 -1.71982 -0.0639312 -0.100231 -0.0285721 -1.58185 0.0111631 0.0569496 -0.0173092 -1.6395 ]
8,-15.6763,[1.53921 -0.827351 -1.17793 -0.722576 -1.31441 -0.751577 -1.60894 0.566246 -1.55613 0.326458 1.25198 -1.41105 0.812 -1.63718 0.13896 -1.6262 22.7311 10.6233 22.1659 0.440147 -1.78075 0.132168 -0.0218004 -0.0624838 -9.33842 27.6033 -1.47698 0.993732 -1.47465 0.978389 ]
9,-13.9192,[-7.52346 -0.906179 -1.07889 -0.892127 -16.9663 -0.338326 -1.45122 -12.8087 -1.83008 0.485916 1.12352 -1.5101 0.709056 -1.60919 -2.41376 -1.24053 -0.87265 1.34346 0.384915 -1.78778 0.0262343 -0.171898 -1.48302 -24.8276 -14.9623 0.438328 -1.62395 0.569401 -1.56725 0.951965 ]
10,-14.0306,[20.5721 -1.31744 1.20483 0.68701 -1.6492 -10.3691 -1.06406 -0.880291 -1.15733 -1.16319 -10.7843 -0.669472 -1.38546 -2.70568 -1.4799 -0.285419 -1.47708 -0.263818 -1.42315 -0.703972 1.61015 -0.68378 -1.21665 -0.663218 1.52215 -23.9808 -11.0663 -1.10608 -0.815504 -1.25557 ]
11,-10.1032,[-0.135366 -1.64514 1.21157 -1.12972 1.48649 -0.34676 -3.1379 -0.282124 -13.3211 -1.59775 0.302968 -1.81889 -6.98558 20.4527 -7.94453 -0.767155 1.54033 -0.703826 -1.26016 -17.9124 0.792964 -3.28237 1.49166 -0.878469 1.51512 -0.892025 -2.71646 -3.88723 -1.86077 -20.9762 ]
12,-12.5448,[-1.45648 -0.437573 -1.34899 -0.538339 -1.34774 25.7695 1.42338 -1.08102 1.39119 -1.23182 -0.83989 -2.81847 -19.6558 -19.8296 1.29904 -1.22376 -0.698309 -2.77944 -1.11413 -0.9153 -1.06018 27.1142 -24.0765 -1.44935 1.26037 -1.09517 1.55495 -0.741659 -17.1421 -3.06295 ]
13,-13.7782,[0.0438746 -0.156866 -0.0144873 -18.1734 -1.08905 -0.865945 -1.11385 -0.817463 1.41662 28.8917 -1.44935 -0.266228 -1.49216 0.842921 -5.04293 -0.870173 -1.21548 -2.34074 -1.71385 -15.1398 -23.7408 -0.188428 0.00414115 -1.56965 -0.0447068 -0.00648918 -1.37088 -0.483811 -1.35217 1.12049 ]
14,-15.6999,[1.73029 -0.34263 -1.34102 1.06044 0.865988 1.08583 -1.58539 0.769236 -23.089 -1.74123 0.406923 -1.55196 -30 -1.19527 1.42052 0.191256 1.43049 0.233757 -1.67718 -0.594601 -1.30636 -2.79677 -1.09882 1.46721 0.250828 -1.59925 1.10757 -1.03981 -1.40491 0.861708 ]
15,-12.001,[-1.21881 -0.620892 -3.08955 -0.00903893 0.133863 -30 -24.9268 -1.06484 -0.978115 -1.12222 -0.881788 -1.34173 -0.495834 -1.43819 0.679432 1.25059 0.656579 -3.28621 1.30503 -1.34298 -10.3417 -23.2542 1.29595 -1.23491 -24.3414 -1.86946 0.691685 1.21379 -30 -1.46259 ]
16,-15.1114,[-1.22193 1.44111 0.149767 -1.6383 0.0879563 -0.34119 -1.46088 -0.272502 -1.4459 1.05145 -1.14782 -1.24046 -0.462783 -1.50749 23.8987 6.46126 -15.4022 -6.69779 1.54284 -0.843391 1.50449 -0.970489 1.38254 -1.23442 1.42816 -0.585016 -1.32648 -0.60631 -1.23944 27.4053 ]
17,-11.2924,[-30 -1.33687 -0.806973 -1.22019 -0.787629 -1.18815 1.40503 -8.06079 -0.888817 -1.05527 -1.01396 1.46029 -0.993991 27.1169 1.5414 -0.738342 -1.483 0.717246 -1.64827 0.337562 -16.7566 -0.355394 -11.5718 -15.3252 20.756 -1.53214 -0.221024 -3.04528 0.268013 -3.3717 ]
18,-14.7437,[-1.5389 -0.0209159 -1.54746 -7.2142 -30 -26.2393 -1.64737 0.229122 -20.2539 -15.2507 0.507313 -1.70161 0.0507145 1.55896 -0.729656 -17.763 -1.03264 -1.13629 -0.700817 -1.26827 -0.659643 -1.44337 0.78857 1.18259 -1.22277 -0.581661 -1.38534 1.06675 0.884003 -1.46893 ]
19,-15.0276,[-11.7898 -0.339862 1.53673 -0.367769 -1.45936 -0.241811 -1.50131 -0.078333 -27.0284 0.0105247 0.0864445 -1.24357 0.963158 -1.49396 -0.565193 -1.5414 1.09914 -1.36263 -12.0767 -1.60688 0.383205 -8.33761 -1.7698 0.117882 -1.60664 0.720927 -1.52759 -0.51893 1.45228 -1.43608 ]
20,-12.5812,[-25.3959 -0.016737 -0.0409687 25.4282 -0.425934 -1.39958 -0.535904 -7.62867 -1.10106 1.39669 -1.29919 27.4374 0.416781 -1.64609 0.416258 1.29539 -1.30427 -0.593271 -27.9634 -2.81554 -0.712956 -1.27553 -10.6725 -30 -0.875986 1.50354 -0.896332 -1.1463 1.17295 -1.57858 ]
21,-14.3688,[0.00040555 -0.0117086 -0.137543 -1.54544 0.508293 -3.36663 0.504858 -1.75133 0.230167 26.0365 9.19727 0.0589055 -0.029805 0.0474522 -0.0795714 -1.60468 1.37353 -0.674928 -1.29617 -0.660612 1.39315 -1.15194 -30 -18.2992 -0.0680048 -1.55719 0.0750002 -1.62267 -25.0089 26.1449 ]
22,-11.8612,[-1.33408 -0.57303 -1.36729 1.07434 -1.39701 -6.01708 -0.212956 0.0543644 -13.4457 -0.728396 -1.2742 -0.704315 -1.15484 -0.831383 -4.31768 -1.03046 -0.972429 24.8257 -0.553427 -1.33224 -0.528348 21.4737 -0.228058 -17.9451 -1.67053 -0.0114093 0.0681896 -4.72299 0.238366 -1.71512 ]
23,-12.2714,[-10.0412 1.40214 -6.66534 -1.56436 0.739134 -18.38 -0.942593 -1.09355 -0.901476 23.526 -18.7187 -29.8965 -0.751256 1.55189 -0.224335 -1.49938 -0.240904 -10.8243 -0.613795 -1.27718 -0.638356 -1.23433 -0.999565 -0.991811 -17.6941 -1.53088 -0.147274 -0.0953045 -1.49934 -0.149727 ]
24,-12.145,[-1.61922 1.08333 -1.35866 1.37203 -1.03442 -10.3564 -13.2713 -0.233182 -1.52406 -0.269771 1.56964 -0.773974 -1.14671 -30 8.05466 -26.2 -3.16842 -29.9847 0.968273 0.986641 0.945354 -3.18075 0.345015 -1.75879 -2.39703 -1.66809 0.19039 -3.00117 -0.530369 1.57043 ]
25,-11.2108,[-1.40555 -0.38839 -1.42063 -0.312731 -1.55527 0.745047 -9.34177 24.5521 -0.435188 1.62561 -0.413391 -30 1.94933 1.97954 -28.1556 -1.21681 -0.749702 -1.1884 -20.3691 -0.0975456 0.0503162 -1.55707 0.757015 -3.20773 0.399669 -1.72629 -12.5763 -30 -27.0968 -1.5111 ]
26,-16.619,[-2.34152 2.65477 -4.71585 -30 0.130562 -1.62133 0.0655748 -0.109099 -0.0463099 0.0273671 1.41194 -1.02849 -2.74295 -23.8213 -0.703995 -1.27373 -0.679544 1.36139 -1.6657 0.16383 1.39935 -1.14988 -0.973628 1.43236 -1.02449 -1.19971 1.34369 -1.12356 -0.650148 -1.37042 ]
27,-11.7393,[-0.0431487 -1.53321 1.11386 -1.35238 1.49997 -0.488022 -1.35583 -10.5827 -0.242249 -1.58706 -2.51326 -1.27721 29.0423 -7.22567 -1.57436 0.815202 -1.50037 0.871583 -22.8449 6.2928 -10.4789 -1.45691 -0.166469 -1.49709 -0.508374 -1.22642 -0.941348 -4.42394 -18.2871 -0.103373 ]
28,-9.29152,[1.3752 -1.12553 -12.0064 26.6688 -2.62417 2.59204 -2.43094 23.098 -17.5869 7.71042 24.1601 -1.38243 -0.546127 -1.31225 -0.52927 -30 -6.52702 29.0387 -1.03383 1.45389 0.277025 -1.59361 -0.382707 -7.58987 -30 0.106307 -1.56592 -0.0555112 -0.00178427 -3.15144 ]
29,-10.7563,[1.14906 -1.6723 0.609257 -1.81432 0.242104 1.4722 -25.1685 -1.60902 -0.507241 -1.41474 -3.05243 1.01242 -1.47096 -0.0675735 -3.25401 -1.02245 1.46131 -0.829952 1.54465 -11.6303 -7.51611 -14.2308 -20.5337 -29.7813 -0.100197 1.54656 -0.788076 -9.04163 -1.09555 -1.00659 ]
30,-13.1888,[-28.3919 -1.56332 -0.0674706 -0.0901598 -3.32169 -12.4829 -0.00515223 -0.116483 -1.46837 -0.258507 -18.0148 0.0104995 -0.0587823 -1.37396 -0.878239 1.18672 -1.64997 -0.270382 -1.42602 -0.418086 -13.6903 -0.810991 -1.20072 1.18123 -1.40912 0.984907 -1.4838 1.12116 28.5579 -28.6279 ]
31,-10.8119,[-18.3693 -0.65079 1.54757 -0.934122 -1.45637 -0.263258 23.0023 -1.58822 0.705425 -1.5419 -2.35562 -1.52094 -0.44016 -1.43412 -20.6008 3.09255 0.824764 -1.52788 -0.15896 -0.105434 1.62293 -0.70742 26.2072 -1.07425 1.48094 -1.20335 -15.1025 -27.4128 15.5459 -18.6723 ]
32,-10.8353,[4.7518 -5.34589 -1.9505 -3.8273 -1.8041 -24.8985 -1.29546 -0.655811 1.46942 -1.07877 -0.942779 -1.13104 -22.2124 16.6455 -23.3581 -28.3577 -1.16326 1.0534 -1.53105 -0.0291001 1.52596 -0.745328 -1.19112 1.33221 -3.10774 0.00389838 21.8332 -3.03111 -0.366869 -1.55821 ]
33,-11.1306,[-17.9024 -7.61285 -1.04209 1.42786 -24.226 -14.3276 1.2893 -1.21764 -7.26412 -1.52768 0.207582 -1.84731 -0.0149306 -0.0417407 -0.153822 29.3829 -0.0694339 -0.0224419 -1.6154 -3.12966 -0.144731 -1.49048 -0.156697 1.58704 -0.913334 -15.5953 -21.1751 -0.863458 1.5043 -1.12774 ]
34,-13.217,[-23.8736 -7.59417 -0.956296 1.42498 -1.29073 1.10152 -1.48116 -0.754738 -2.93974 -0.593046 -4.90504 29.3823 0.0019722 -0.0153196 -0.0327265 -0.0761153 -1.52858 -0.265226 -1.64225 -30 -1.06387 -1.05266 -0.987886 -1.18914 1.31827 -6.44494 -0.292567 -1.51322 -2.24399 -1.68649 ]
35,-15.1907,[-4.74687 27.9148 20.8259 -2.32944 -1.60401 -0.109202 -1.47321 1.34137 -1.07273 -29.4273 22.4527 -14.5345 -1.75599 0.219665 -1.47279 -0.453183 -1.43646 -0.762545 -1.50468 -0.00544128 -0.0704041 0.0173891 -1.54864 -0.225345 -1.44151 0.947949 0.825915 -1.59414 0.141327 -1.71429 ]
36,-14.9379,[-0.40362 -1.44377 -1.06445 1.28305 -1.47961 -0.124829 -0.0564787 -1.53623 -0.234848 -1.62379 0.386706 28.0745 -0.957186 1.47888 0.184275 -4.52294 -1.42595 -2.53868 -1.37897 -0.295161 -1.49171 -0.142905 1.55332 -0.797801 17.4572 0.0442929 -0.126424 -3.05695 -0.26196 -1.42446 ]
37,-11.4691,[-0.946626 -1.047 -1.02008 -0.930285 -20.0026 -0.0392246 -0.0788063 -1.6226 -0.471727 -1.4731 -0.244429 -6.33776 -1.14573 1.44586 0.19117 -3.11556 -3.10564 -0.290948 -1.41328 0.982998 -3.24625 0.112144 -3.46707 -13.396 -12.3672 -0.586094 -3.01974 -6.78113 1.11713 -1.39034 ]
38,-12.0584,[-7.36711 -13.8431 0.112942 -1.59098 0.397585 -1.83686 0.76462 1.08555 -3.14361 -17.0994 0.521889 1.30767 -1.16778 -4.58606 -22.7903 -5.97899 -1.33165 -0.567849 -1.23066 1.19584 -1.41184 -0.392054 -1.4011 -0.353823 -1.41165 22.993 -0.670794 -1.18167 -0.864895 26.3423 ]
39,-12.8161,[-2.2962 -2.04214 -1.94537 -1.81941 -2.38263 -1.68776 0.228066 -1.70772 -29.8542 -22.2884 1.58452 -0.937183 -1.02374 -0.986571 -0.914032 1.55424 -0.385767 -1.38517 21.7633 -1.40468 -0.445001 1.48921 -1.22222 1.27398 -1.51015 -0.154221 -30 -2.86261 -1.01487 -1.18039 ]
