Run#,Result,Solution
1,-27.5126,[2.20247 1.55935 1.28516 2.47904 1.72707 1.55919 0.844093 1.3559 1.28782 1.56249 1.16209 1.10283 1.37839 1.32116 1.28512 1.46999 1.42676 1.73954 1.68822 1.6474 1.45419 1.25045 1.23019 1.87106 1.60189 1.30334 1.28508 1.62685 1.23459 0.705652 ]
2,-25.6245,[2.07365 1.54732 1.20447 1.92689 1.71453 0.844836 1.4269 1.35918 1.65113 1.21353 1.49609 0.647541 1.62717 1.02936 1.28073 1.24283 1.42582 1.38098 1.69069 0.849002 1.28119 0.450076 1.53594 0.451482 1.60312 1.4438 1.76339 1.62591 1.23764 1.07227 ]
3,-26.8328,[2.10642 1.56387 1.25915 1.08639 1.00011 1.56016 1.44329 1.75404 1.28483 1.56637 1.49887 0.615852 1.37161 1.57152 0.573768 1.46907 1.20444 1.73717 1.53033 1.64895 0.840153 0.479248 1.38976 1.35849 1.33213 1.68856 1.28306 1.62511 1.09412 1.34439 ]
4,-25.221,[1.99618 1.55422 2.21845 1.0868 0.983105 1.57049 1.4527 0.775787 1.65233 1.563 1.77208 1.43731 1.62677 0.591978 1.51691 0.0211016 1.6176 1.38334 0.512802 1.31466 1.45448 1.25372 0.80379 1.63614 1.47375 1.44257 0.741345 1.25932 1.0871 1.07677 ]
5,-26.8487,[2.20522 1.43142 1.261 1.9234 0.947903 1.55238 1.44938 0.758277 1.28205 1.56596 1.15962 1.43314 1.05714 1.0313 1.71969 1.23956 1.61214 1.57102 1.52561 1.31082 1.60681 1.4196 1.53591 1.01451 1.47583 1.57086 1.76426 0.940692 1.23742 0.907329 ]
6,-27.4651,[2.12538 1.48846 1.27843 1.1121 0.988867 1.56496 0.840397 1.35483 1.27643 0.70458 1.16011 1.43242 1.3801 1.569 1.51373 1.46903 1.20594 1.38067 1.52923 1.48914 1.07671 1.57103 1.39088 1.75831 1.33287 1.1518 1.41799 1.73081 0.921794 1.3434 ]
7,-27.5474,[2.20316 1.56946 1.25293 1.10236 1.71939 1.56478 1.87606 1.35193 1.65421 1.2104 1.15675 1.4357 1.06693 1.56834 1.28486 1.4701 0.931967 0.497464 1.52907 1.49019 1.7499 1.57068 1.38927 1.19973 1.47319 0.753665 0.957916 1.6249 1.69879 1.46292 ]
8,-28.0767,[2.19029 1.56946 2.20447 1.921 1.71964 1.55312 1.45286 1.3532 1.65614 1.56742 1.49553 1.69371 1.07194 1.32529 1.51789 1.66635 1.61514 1.56945 1.34826 1.64729 1.60841 1.41857 1.67194 1.63529 1.3292 0.967908 1.41829 1.62532 0.71607 0.908945 ]
9,-26.161,[2.18903 1.56301 1.27434 1.91304 0.94595 1.56223 0.818694 1.35808 1.65795 1.56812 1.14864 1.69722 1.37989 1.5671 1.28285 1.66613 0.503187 1.56985 0.507775 1.64803 0.474674 1.57042 1.38498 1.6359 0.994861 1.15052 0.953677 1.39179 1.0922 1.34688 ]
10,-27.9677,[2.19095 1.5707 1.26989 1.07303 1.69292 1.57159 0.840915 1.75371 1.65519 1.56536 1.49587 0.638714 1.38041 1.32433 1.51785 1.66325 1.42505 1.73785 1.52904 1.31443 1.45615 1.42058 1.22343 1.63445 1.60176 1.44659 1.54256 0.941527 1.23727 1.21687 ]
