Run#,Result,Solution
1,-15.9213,[49.208 51.156 50.8122 48.7242 48.837 44.7339 42.3762 81.6336 83.2962 -86.1442 -88.2565 92.3734 92.9202 -81.4194 -82.6487 -85.8906 -88.7982 -88.4171 -91.1407 -15.8791 -17.4984 -18.9906 -20.5138 70.5232 75.7695 79.4099 80.3952 -40.4645 -40.7344 -38.4552 ]
2,-11.8109,[70.8072 72.9011 -65.9281 35.6888 35.3854 -3.26685 -4.94842 -100 -99.0289 -99.7877 -98.5533 -100 1.68235 2.07759 -98.71 -99.2372 59.1166 59.8875 -68.8111 -66.6694 -96.8035 -98.4661 -99.4123 54.5621 54.3991 -94.007 -92.6539 -91.0489 -92.5012 -94.337 ]
3,-13.3463,[-45.8609 -45.8737 64.0976 66.6932 66.2654 93.4705 95.7873 -75.4799 -77.3731 65.7949 66.4623 66.2314 13.9788 14.9835 -73.2711 -72.5157 -71.5436 -72.7087 -27.9026 -24.7664 -24.6438 -23.7873 25.7424 25.1909 -96.822 -96.9222 -95.2211 -36.1712 -34.9663 -33.6134 ]
4,-14.1764,[-9.44799 -9.72687 -7.51522 -80.6779 -80.1713 -80.759 46.8818 46.8289 46.4863 -100 57.9479 58.8424 -86.3867 21.4145 22.4507 24.405 25.3681 22.9052 18.8685 16.7199 14.3045 -87.166 -86.7667 -82.9221 -83.3513 92.602 92.9955 -36.6805 -34.2861 -35.0511 ]
5,-10.2574,[-31.2864 -29.7644 -32.5691 56.4176 57.6367 59.5624 60.6062 -84.2019 -31.7383 -31.2885 75.3781 75.2449 -90.6817 -88.8692 -89.7667 -92.5628 -70.5815 -71.2467 83.0702 85.9003 84.9176 32.8993 31.6443 78.5605 77.8782 -26.6893 -25.5404 -95.2441 58.7984 58.567 ]
6,-13.9892,[-42.2892 -40.6361 -40.9249 -37.0669 -36.5449 -91.8017 -91.7282 -25.1328 -24.6401 -26.6443 -26.1687 -51.7117 -52.8261 33.1804 34.7924 32.959 35.5232 35.6219 37.8742 -85.4102 -86.1732 82.8799 84.2273 80.3102 80.9178 -76.4599 -76.5617 64.0862 63.1684 -100 ]
7,-10.7039,[-57.7427 -29.5579 -30.6802 -32.7682 -44.4503 -43.8833 -92.5869 -92.6785 -61.409 -59.6007 -59.3212 -60.4754 19.5588 19.6266 -63.3904 -65.2166 55.959 56.5976 -85.7763 -85.4911 -84.2878 -34.7766 -34.9446 21.4233 20.7023 60.8886 60.9482 62.3553 -72.239 -71.5266 ]
8,-15.1761,[-71.3287 -67.6871 -68.1034 33.9688 35.1945 36.4054 17.6336 18.5812 44.2515 44.4955 41.68 40.1923 -94.3064 -90.9746 -92.6803 10.2521 10.0249 8.40521 70.0371 72.0035 68.3161 -56.4248 -55.8629 -56.8696 -60.7252 -63.6949 -63.499 -59.6072 -55.5746 -57.0082 ]
9,-13.5489,[-94.235 -93.8065 10.1226 11.489 13.475 12.7423 12.6914 15.0687 66.6052 67.5194 79.2707 78.7256 -27.7043 -27.364 -82.095 -82.8615 -84.8404 74.8921 74.5506 -42.2301 -44.9999 -41.9431 -36.5732 -35.9921 -34.3087 72.6041 74.6753 -21.8372 -19.4528 -21.852 ]
10,-12.7367,[99.5606 97.9609 -17.5722 -14.2547 -16.7704 -81.5471 -82.5593 -82.3005 46.4592 46.8843 -86.0611 -85.096 -87.0986 -47.7147 -44.9785 -41.5466 -40.7791 58.3191 58.9578 -43.4294 -44.0873 -45.2527 -19.8715 -32.6106 -30.1267 -30.554 -31.6986 -59.4603 -58.5666 -56.6628 ]
11,-16.6696,[-15.2945 -12.9821 -12.6563 -13.8136 -26.8125 -28.1286 -26.3164 -25.1208 42.9511 41.7066 40.6183 -55.1338 -51.7855 -51.6505 -51.4224 -50.8195 -47.2372 -46.07 -42.0542 -43.5855 -43.204 12.3757 11.2698 12.6182 41.5296 41.6619 42.9834 40.7062 -36.0452 -37.0498 ]
12,-12.5111,[17.6061 17.7819 -30.4316 91.1744 90.8901 88.1105 84.9887 -18.0865 -19.1624 -20.4794 -22.804 -24.2183 -81.2975 -82.5144 45.686 45.8575 -46.9387 -43.2679 -42.6301 -41.5821 70.5601 93.8159 95.5075 97.3582 95.342 69.0139 67.9849 13.3846 16.3492 16.9235 ]
13,-11.9444,[8.31332 10.583 8.7423 4.65177 -62.8842 -64.4988 -62.2977 -64.6708 -7.82934 -10.0768 51.841 51.797 17.5287 15.3859 -91.9945 -92.9239 46.2538 44.0587 42.3283 -37.9777 -38.6488 -93.2436 -90.2546 -91.617 56.0535 55.7283 -51.6605 -53.7255 -59.8338 -62.2616 ]
14,-15.387,[11.8182 12.2493 9.60272 9.42222 44.1425 47.2654 46.779 79.451 81.367 83.0947 84.138 48.4395 50.2443 -17.5494 56.1562 58.3571 56.7554 58.6243 61.7137 61.7705 61.275 58.6811 -98.566 69.8053 69.5597 67.2055 -5.15441 -2.30603 -2.73625 -1.80622 ]
15,-10.8736,[-57.9202 -59.5905 -59.438 89.385 90.2377 -70.8431 -69.5575 -72.9397 75.2444 76.9648 78.1067 -100 90.6521 92.7521 -25.9371 -24.2991 -19.8364 -18.1232 -15.7113 -13.754 -41.3432 17.006 17.8881 -27.4936 -25.9558 -60.4342 11.2073 12.2033 10.7913 9.50704 ]
16,-11.7047,[80.4424 81.7616 38.0268 36.175 -55.3976 14.5806 14.2321 12.7835 41.5105 44.4459 44.1038 -15.3902 -16.0544 44.9143 45.7782 47.4616 -98.6059 -98.5452 -96.7887 92.0055 91.2025 -54.4983 -54.4443 -54.5335 76.4997 78.5927 78.0166 80.9003 81.8821 -5.89853 ]
17,-12.2245,[-41.5252 43.7093 43.79 -39.6864 -40.9383 -0.403716 0.94223 37.1937 34.7003 35.3472 57.5742 54.8837 57.5851 61.9777 62.3932 61.6631 -87.9121 -86.5871 6.71062 4.3897 3.55047 -70.6431 85.1514 88.4887 86.5956 83.689 82.0316 82.8512 -37.6331 -38.0484 ]
18,-15.9204,[-59.4341 -59.461 -61.2299 26.515 28.8427 29.927 28.7369 27.5296 25.8907 7.54021 6.57545 4.80828 -45.9963 2.3099 4.19286 83.5093 83.8559 42.6516 43.701 42.8816 40.8685 92.2274 92.5146 89.7379 87.4462 86.2366 -57.7025 -55.7054 -53.9073 -52.7741 ]
19,-17.0522,[42.8543 41.4226 41.9794 40.1288 34.26 33.537 33.9269 -78.1015 -79.2131 -80.549 -44.4774 -43.1291 44.9239 44.6154 -0.405296 0.642036 1.09731 -43.2738 -41.7934 -39.2546 -42.5619 -46.5943 -46.3979 -47.6532 -45.501 -45.1961 -42.6499 -40.4412 -42.5504 -56.4509 ]
20,-16.3218,[82.6765 82.6763 -62.7165 -61.5695 -62.674 -63.4216 61.689 61.7515 59.6927 59.5439 -5.06363 -4.79651 -70.1514 -71.3385 -73.5004 -73.9029 -74.3633 -75.1437 -75.143 74.3526 75.2383 75.2508 -97.534 -98.898 -63.0399 -63.2247 -64.0896 -30.0507 -29.7014 -27.9657 ]
21,-13.2745,[-42.9732 -40.6991 63.925 61.6386 57.6401 56.3548 53.3009 -34.64 -35.6512 -48.6653 -48.7303 -50.0821 -52.2304 90.3159 88.9318 -40.147 -40.4529 -84.7156 -84.0912 -85.6688 10.682 9.29633 10.1054 9.53286 24.4794 25.3842 -46.9111 -50.0214 -48.2776 -54.2921 ]
22,-15.0123,[-91.4519 -92.3451 -90.2925 -91.2358 1.6815 2.18312 -43.2586 -43.9261 -42.892 -43.3857 -30.1315 -30.2762 3.67929 5.19774 6.02142 5.44587 7.41418 -48.8348 -48.9747 -48.155 -2.3026 -2.93256 -59.9929 -60.0871 -60.2376 79.8978 80.0022 42.8544 44.0594 42.2495 ]
23,-13.1877,[-48.684 -50.4401 25.9841 26.8808 26.947 -21.1012 -18.6328 -19.9305 1.62201 2.39561 -90.0052 -88.3156 -87.72 -89.2271 39.6496 41.0444 -73.4746 -74.4309 -75.3822 -77.7998 -80.0723 -51.9188 -52.0749 -98.3997 -98.9692 -17.6425 -14.8286 -13.9935 39.8484 39.5227 ]
24,-9.461,[-54.4039 -55.1049 33.1704 33.3776 -1.28024 -4.12575 -4.16506 -4.82398 -10.7743 -10.7038 -90.4148 88.6604 88.9597 -64.663 -64.6999 -22.4897 -22.9533 77.2951 76.4461 6.84507 96.2736 97.668 -75.4204 -76.0529 51.5577 51.7536 -44.1344 -45.1027 -44.1043 -44.6327 ]
25,-15.124,[-75.9415 -75.2977 -74.3983 -73.4172 69.5274 73.903 74.186 -48.6021 -49.487 47.6608 50.2523 53.3696 55.6217 56.0976 -100 -98.3606 70.359 72.125 -21.0657 -19.8997 -21.019 57.9579 56.2015 38.6458 37.1836 37.8192 36.6644 36.8244 34.6184 32.6931 ]
26,-14.7264,[-93.8591 -94.6755 20.737 18.3669 20.4819 28.1327 30.544 30.347 26.1184 24.9018 -61.3612 -61.7891 0.733606 1.12451 64.4468 64.3202 -80.4315 -81.2201 10.0676 10.2185 11.9816 11.7353 9.65044 -42.6988 -44.1231 -42.1441 -57.5809 -57.4275 -58.5632 -58.205 ]
