Run#,Result,Solution
1,-10713.3,[-174.377 461.093 414.532 412.56 456.41 415.655 458.595 -233.231 -327.046 -461.819 447.328 398.526 -423.945 -500 -500 -132.57 333.816 345.457 413.08 452.455 -117.648 -387.243 339.289 105.878 -399.52 340.987 -461.097 379.296 -368.234 431.231 ]
2,-10439.5,[422.538 -398.191 -114.513 -290.987 474.786 438.127 372.597 -299.394 -447.16 376.397 248.223 489.397 -445.28 277.984 217.421 -417.474 -500 174.979 461.54 489.551 282.379 -359.635 319.154 -430.105 269.731 201.925 354.456 232.348 104.804 442.087 ]
3,-10591.4,[-165.993 456.722 484.326 188.658 -397.714 472.241 495.665 -500 411.399 -450.715 460.379 -427.8 417.139 -399.1 -418.829 -433.83 353.323 -500 -108.788 -39.6859 -500 161.273 248.807 480.188 210.177 464.265 420.584 347.233 -475.707 385.745 ]
4,-10150.8,[233.254 481.614 -241.152 333.934 -476.704 452.348 483.107 453.303 407.836 -442.143 -284.357 -434.875 -270.612 -42.1019 -369.098 421.215 348.106 -489.2 -401.434 -153.724 -398.234 -104.343 -39.3677 -389.266 -356.482 -301.842 491.216 -450.264 -305.195 495.407 ]
5,-10754.4,[357.062 -348.424 311.388 397.771 445.305 477.399 438.429 437.472 -109.443 -402.275 -496.288 -99.5372 98.5341 -500 398.345 -421.952 -492.528 467.563 162.87 103.519 461.62 -425.183 -500 -426.545 -440.383 373.501 251.668 -288.15 -447.688 -457.615 ]
6,-11630.5,[-461.66 446.301 384.983 261.058 494.13 -500 -428.932 434.979 -486.335 -395.756 344.943 -192.879 -418.651 -235.26 329.065 -446.656 -455.989 466.049 -430.389 -445.905 -457.033 -463.611 -457.916 -466.321 -461.354 -470.702 456.408 -228.099 -322.367 -369.056 ]
7,-11418.5,[235.44 482.252 -349.618 -462.228 475.068 -228.525 225.693 -432.232 438.569 -410.779 -220.862 -310.957 490.893 291.785 -363.645 -464.179 -457.242 468.808 211.371 -425.211 -439.342 -450.711 -458.862 445.655 -110.649 -282.26 -290.916 494.531 468.68 -468.818 ]
8,-11110.3,[-35.5811 -500 402.715 446.078 97.5929 -482.168 -478.862 283.261 389.904 443.049 -112.032 240.796 489.615 293.784 -367.224 -471.724 385.342 -406.66 345.499 -500 408.388 -444.843 -457.179 -451.321 -445.909 -455.536 -465.389 -460.992 448.21 -500 ]
9,-10426.4,[211.098 -407.967 147.488 449.296 394.403 -382.159 -479.592 460.721 405.719 447.744 398.592 307.623 -403.9 400.651 -384.182 -107.703 -286.41 464.955 423.537 -483.808 398.37 308.996 -393.143 -476.875 -471.502 388.153 276.131 216.585 461.717 165.219 ]
10,-10704,[-480.149 -373.315 255.713 -294.196 483.694 -487.989 470.224 -239.424 350.012 -490.69 469.471 491.492 457.942 -221.622 283.381 225.714 -454.204 443.425 -339.826 338.728 -469.269 449.015 -104.79 -40.5761 -500 -424.806 366.139 355.86 -488.109 -486.208 ]
11,-11074.2,[-396.447 -113.156 -285.092 -443.248 -430.154 -416.132 -495.638 -494.318 -492.38 -403.791 350.179 -494.147 400.144 -434.405 -419.853 -206.514 99.8747 455.892 -116.972 -393.745 468.105 175.539 -296.935 -292.714 485.138 -446.469 -455.045 444.122 -110.889 226.781 ]
12,-9887.2,[-330.547 233.776 478.522 444.052 28.8156 450.439 -110.16 -370.401 424.801 466.113 177.533 463.566 164.709 332.004 22.7209 -30.5564 -398.183 -492.444 -414.682 -219.425 -173.454 460.331 156.712 345.821 -473.291 -359.225 409.3 322.993 340.389 -471.485 ]
13,-10517.3,[-297.631 -163.761 -404.901 493.199 306.102 326.161 114.083 -500 -407.338 -484.143 -481.185 463.932 212.182 -432.324 439.166 -439.765 -451.43 -439.973 -427.661 271.426 201.236 -413.72 -220.552 293.603 -261.464 -435.079 364.956 -297.353 492.946 -495.903 ]
