Run#,Result,Solution
1,-14972.1,[-2.00036 -0.0260885 -3.03252 -1.95747 -1.11917 -1.02887 0.0542557 -7.21594 -8.94781 -0.933065 -4.00485 0.0537126 -1.10625 0.0508007 -0.94271 -0.0463604 -3.01117 -0.0414783 -1.01525 -0.979054 0.000361037 0.0692086 -0.0326343 -4.98342 -1.02931 -2.00714 -0.00304547 -0.0074259 -3.00609 12.1691 ]
2,-37291.6,[-2.01623 -4.0929 -2.01126 -4.02392 -1.99857 -7.02918 -0.0348765 -1.01539 -1.94788 -2.03843 -1.00074 -0.967156 -1.00262 -0.965633 -1.08591 -4.00467 -0.974673 -1.04022 -0.0241064 0.0554984 -3.02219 -0.0240092 -1.10862 -1.08902 -0.933547 -2.13169 -2.0645 -0.947215 -1.04191 -21.5132 ]
3,1871.76,[0.00374484 -3.06022 0.0534418 -0.0224719 0.98627 -0.987977 -1.13242 -8.97438 0.00654352 -8.94785 -0.00996758 -1.0438 -1.00886 -1.91968 -0.967226 -0.0389533 -3.05894 -6.99862 -0.979711 -1.02517 -0.110757 -0.00337356 -4.01268 0.023666 0.0217242 -0.909369 -2.00332 -4.1676 -0.00978458 -9.54421 ]
4,-22437.4,[-1.98747 -2.01937 -4.00793 -2.08498 -0.052279 -3.09002 -0.984501 -5.10631 -1.01701 -0.959912 -0.977202 -3.13067 -0.968493 0.0250055 -5.19905 -2.03504 -0.0553794 -1.0352 -2.14802 -1.93826 -0.941618 -1.00664 -0.0119358 -6.96823 -0.034743 -0.989817 -0.0604954 -3.97167 -2.02195 4.74554 ]
5,14616.9,[-1.00364 -3.17576 -6.97517 -0.0777047 -5.96364 -2.96759 -0.0977442 -8.01576 -1.88986 -1.01077 -3.05701 -4.01958 0.0411099 -2.92007 -1.0231 -0.955194 -1.00263 -0.059803 -1.96011 -0.982267 -0.0188416 -0.0420434 -1.02099 -3.0019 -7.20357 -1.01769 -5.22454 0.0646873 -1.04208 -17.0763 ]
6,15666.5,[-0.0238485 -1.98967 -0.0493374 -1.01563 -1.953 -4.96628 -1.07694 -0.949841 -1.96256 -1.02383 -4.02725 0.984975 -0.927894 -1.99403 -4.01383 -11.9364 -1.03656 1.04883 0.955224 0.0363595 0.00796676 -5.94289 -2.97525 0.0318613 -2.93683 -0.964322 -7.15396 0.00206542 -0.0226394 -1.59981 ]
7,-7158.4,[-1.9421 -7.86094 -0.0600034 -2.0108 -5.05057 -0.0601156 -1.99398 -0.0561504 -0.0698867 -3.99246 -6.97021 1.00814 -2.10384 0.0279823 -0.00500262 -0.0062052 -0.0545994 0.0582959 -7.1602 0.00507998 -1.05443 -0.0691984 -3.06345 -2.02878 -1.0179 0.0260767 -2.90676 -1.00401 0.0384114 -19.4702 ]
8,-16350.7,[-1.04262 -3.9551 -1.09155 -0.964199 -0.991614 -0.065187 -1.99098 -0.0376759 -0.988999 -0.110877 -1.00127 0.0215498 -3.15426 -5.91582 -0.0576416 -5.9857 -1.04558 -1.01356 -2.96757 -6.20384 0.00890934 -1.04359 -1.02797 -2.09467 -2.92006 -0.0165253 -4.01479 -1.99617 -4.13287 9.3777 ]
9,-19327.5,[-8.01055 -1.03253 -3.97936 -1.95646 -0.984516 -1.15318 0.0244402 -1.95976 -1.97052 -0.00511031 -1.97081 -1.94536 -9.03254 -2.05674 -2.14568 -1.97223 -1.01456 0.0345764 -0.918273 -0.0211613 -1.00017 -0.0368214 -2.0008 -1.03103 -0.0771734 -2.05177 -0.981262 -0.00499051 -0.046016 4.71705 ]
10,-45848.9,[0.975719 -0.00780213 -1.05338 -6.19663 -2.07387 -0.00227976 -0.0336111 -1.06183 0.986276 -1.01062 -3.04604 -0.0787024 -1.02485 -1.06489 0.00363922 -2.03651 -0.979788 0.0055428 -3.13272 -5.98867 -1.00056 -1.02377 -0.041329 -0.969507 -0.991995 -0.0351317 -1.03223 -0.985713 -1.95654 -10.5591 ]
