Run#,Result,Solution
1,1391.95,[-430.173 -419.863 306.357 504.429 -422.05 -430.123 -427.146 -434.961 -421.804 -423.214 -422.871 -444.243 -439.996 -419.697 -418.582 -430.941 509.065 -429.739 303.615 -421.04 -430.092 303.023 -420.97 -423.635 300.052 -424.613 -441.315 303.067 -424.418 274.961 ]
2,1694.59,[283.129 -422.2 -434.676 -440.544 -437.122 298.122 -435.461 292.843 -460.089 280.288 -425.787 -420.678 -422.54 -421.843 -424.365 -421.947 -440.174 -424.534 -450.786 -420.998 -421.488 -419.945 -445.398 278.524 284.614 -422.972 288.878 -434.611 -438.513 -426.717 ]
3,1478.4,[-421.34 -420.211 -386.478 -424.732 284.331 -437.308 -421.389 -430.676 -428.224 301.16 -445.231 -421.082 -421.137 302.6 -421.412 301.346 -421.744 294.687 -420.767 123.248 301.249 -435.183 -424.509 -424.457 -428.523 -420.851 -421.228 299.259 -420.917 -423.732 ]
4,2118.79,[-418.969 -203.91 -426.897 299.555 287.66 -434.835 -422.083 -420.823 298.387 -424.051 301.791 301.949 297.298 286.642 -439.453 -424.984 -424.175 -429.275 304.18 277.539 -455.139 508.092 -450.208 -422.308 -420.957 -420.968 -421.753 -432.118 -445.898 303.49 ]
5,1662.95,[-429.431 -452.962 300.608 -425.59 -434.107 -422.506 290.681 -425.937 -448.764 -421.799 103.075 -425.136 -432.239 -423.721 -443.703 -421.254 -422.167 -420.909 282.848 -455.721 285.466 -427.056 269.05 -422.035 -421.017 -421.715 -423.02 -422.4 -422.224 -419.853 ]
6,1622.57,[-420.741 -423.759 286.317 -439.03 -430.282 -421.124 -427.878 123.847 110.988 302.831 -437.057 -419.854 -421.011 -422.132 291.672 301.873 -446.788 -439.57 301.152 -423.737 -425.073 -426.237 303.235 -424.547 -430.667 -422.207 -421.068 -423.248 -422.476 -430.12 ]
7,1181.82,[-422.777 297.695 301.665 297.085 -422.158 -424.138 -420.539 -422.004 293.653 -428.44 -422.19 -420.846 -435.23 297.386 -457.639 -421.286 -417.292 -431.746 -428.587 -424.521 287.336 -443.892 -421.706 -428.598 -421.416 -423.242 302.788 -426.862 -427.547 -420.678 ]
8,963.4,[-428.842 -422.572 -430.596 301.897 297.258 -433.604 -424.601 297.617 -424.627 293.027 295.967 -423.599 -423.28 -419.972 -422.934 -420.507 301.983 -436.277 -421.678 -419.27 -420.705 -422.844 -422.973 296.847 -420.735 -424.809 -427.663 -433.029 -423.796 -426.494 ]
9,1460.18,[-423.11 -442.887 -454.24 -422.913 -437.088 -422.439 -438.035 508.519 -420.841 -421.649 -421.943 -446.408 -425.925 -420.799 -452.895 297.464 -422.153 299.525 -437.618 -206.806 -424.305 -423.389 -420.246 -421.872 292.889 -422.874 -421.508 -446.863 292.914 -420.903 ]
10,1376.09,[-457.934 -435.155 -422.221 -421.831 -421.699 -432.566 -443.573 -423.114 -423.777 -421.15 -421.876 285.557 -424.494 -430.824 -423.437 -423.389 300.917 -422.444 273.879 299.499 -421.696 -421.323 303.015 275.073 -423.344 -420.412 -420.872 -423.455 299.864 -437.791 ]
