Run#,Result,Solution
1,-39.631,[1.72788 3.52023 -1.8484 -7.43217 0.936269 -3.86339 -0.498642 -1.74472 -0.510672 -14.9987 -13.8601 5.02506 -7.97691 -5.39232 -12.6342 0.429243 1.25777 -0.0284619 -2.60737 -7.01853 -6.52923 -2.88606 -1.92658 -5.1245 2.59859 -7.27063 -3.60111 -1.15154 -0.585729 -1.18547 ]
2,-40.97,[-6.46245 -0.499362 3.61786 1.76802 -0.409912 3.01329 -1.94141 -3.01171 -1.23766 0.427072 -3.84198 3.07067 5.02799 -4.26819 -0.867072 -9.97432 0.463789 2.33545 -12.7772 -6.17437 -1.47872 1.44108 -1.12038 -5.57488 -2.48904 -5.76551 -2.80247 -5.04477 -3.01142 -1.72845 ]
3,-39.8227,[0.0626249 1.32217 -0.0631312 -10.8142 -1.01253 2.5847 -11.0368 -3.0149 -1.22908 0.390869 1.29283 -0.148375 -1.32546 -6.34469 -2.57247 -4.54654 -0.993914 -14.7817 -0.492189 1.20338 -21.2287 -1.38864 3.13788 -1.03793 -4.84739 -5.85529 2.33889 2.45553 -2.3403 -2.39665 ]
4,-40.0237,[-2.97248 -6.85534 0.974448 -2.30348 -3.10592 -6.38344 0.436567 -8.66352 3.26794 -0.736248 3.35123 -1.16323 -0.692459 1.0873 -6.90984 -0.925201 -1.55908 -30 -2.28627 -2.44437 -3.25815 -0.063118 2.37164 -4.93469 -2.87553 -0.514091 -2.32437 -6.41888 -5.70633 -4.92758 ]
5,-38.794,[0.898959 -0.904152 0.968376 2.17563 0.554043 -4.87293 -1.61171 -0.828314 2.23455 -0.0841618 3.43261 2.64656 -3.24726 -8.12876 -7.48989 4.91463 -23.134 -8.83473 -2.29186 1.69057 0.713734 -8.01277 -0.781292 -12.0316 -17.5068 -2.7003 -3.33974 -3.14667 -14.5273 -0.369952 ]
6,-39.8301,[0.362 -3.98372 1.66042 -2.61902 -16.0217 -0.653987 -3.66085 0.42803 -1.28125 -0.0915127 -2.77561 0.0349663 6.06278 -5.20297 -6.32416 2.87778 -2.35454 0.846284 5.90801 4.49892 -11.7653 -2.2569 1.07297 1.76607 -0.508434 -4.49274 -16.9153 0.610948 -4.97135 -9.19746 ]
7,-38.3378,[0.446326 1.75516 -3.34638 -13.1618 -12.9375 -1.16317 -13.5059 -1.51461 -1.38794 -3.60947 -6.98071 1.01843 -10.3394 -7.23545 -3.3652 -6.16369 -4.97837 -10.5361 -1.09821 -25.4068 1.47734 6.51162 -1.17877 -1.36553 -1.77236 -1.36024 -4.157 -1.16179 -0.62004 2.15298 ]
8,-38.7337,[-9.37191 -4.29644 -2.21594 -2.0876 -2.6186 -24.9319 2.08332 1.38785 -2.08441 4.7655 0.62444 -2.7803 -2.72862 -2.61349 -3.77177 11.6891 -0.599423 -9.56896 3.70702 -8.43447 -17.7445 1.11803 4.18857 -5.35896 6.80598 -0.586697 1.14285 -2.61019 -6.2471 -0.291576 ]
9,-39.5779,[-0.73252 -5.7816 -9.96931 1.79383 -1.74016 -2.86052 0.855848 -8.79793 -5.25667 -1.78611 1.01523 -2.80722 -12.933 1.43618 3.16175 5.32644 -7.99764 0.676459 6.13039 0.976937 0.87682 -0.975713 -5.10879 -2.14873 -3.93721 -3.6438 -14.1399 -7.87261 -5.95663 -8.97024 ]
10,-39.7284,[-3.59392 -1.75902 -10.3713 -1.64091 1.25088 -6.09364 -3.7183 -4.18294 -7.1035 -2.07006 -4.86827 0.286226 -9.30227 -7.87876 -11.8887 11.953 0.613835 -1.18213 1.37355 -4.83017 -9.55103 5.3511 0.761218 -1.11207 -2.76775 1.61818 -7.87389 -3.30133 1.77485 -0.40509 ]
11,-37.6768,[-4.15971 -3.9016 -4.87928 -15.2859 -2.45783 -23.0073 -14.4515 -0.954977 -4.18735 -9.04203 3.11176 -3.22907 -6.77182 -5.4137 0.13884 -1.27538 -13.3747 -6.7296 -5.04943 -3.78682 1.43914 -14.519 -4.72287 1.94616 -3.12874 -0.434178 -8.35119 -7.31518 -2.50315 1.35949 ]
12,-37.7955,[-19.1018 0.163837 -3.86335 -1.13023 -19.6797 -9.36155 -8.83494 -4.89208 -3.87464 -4.54874 -0.716147 -6.0979 -7.57944 -3.04809 -4.70586 3.55741 -3.25198 -15.5001 -12.7924 -2.73742 -3.82209 -1.60236 -4.31709 -0.708865 -10.2272 -1.44296 -8.77821 -6.9718 -1.51476 -17.896 ]
13,-39.8006,[0.415995 -9.9685 1.73741 -2.06411 -1.41005 -6.85127 -0.735425 -6.34995 -1.21167 -0.534163 -3.80096 -3.81455 1.28885 -0.370203 -11.1915 -16.0589 2.23262 0.089966 -1.38039 -2.31675 0.937042 0.913834 -0.943336 2.69075 -0.202315 -2.68523 -11.1625 -0.841681 1.05135 -21.8061 ]
14,-38.3211,[-7.01628 3.52521 -3.15629 -0.0699024 -11.723 -7.11725 -0.340549 -3.79393 -2.21669 -0.868826 1.87189 -4.40938 -24.0384 -3.85844 -9.0258 -1.26961 -0.27073 -5.26104 -10.1156 -0.181105 -6.34629 -13.8557 -1.08404 -3.12089 -0.467757 -1.30403 -7.95664 -1.64689 -15.0872 -5.04635 ]
15,-40.2749,[-15.4228 1.16122 -6.29196 2.73566 -5.44253 -4.09593 -10.8365 -1.51374 -10.9902 -1.39885 -4.91286 1.96148 -4.55334 4.74057 -4.19539 3.25678 3.62848 -0.651266 1.09596 -2.62633 -4.05873 2.86792 4.12114 -8.71186 -0.430745 -1.22691 -0.580853 -2.79139 2.19027 0.458522 ]
16,-37.7913,[-1.66792 0.735 3.57776 -19.9993 1.95189 2.86981 -8.29958 -0.906769 0.969872 1.8236 0.120106 -17.9854 -4.65794 -6.19243 -3.03235 -8.40605 4.44647 -0.432224 -1.30116 -3.88536 -2.92339 -11.2025 0.464741 1.76865 -28.8575 -0.700674 -8.1477 -5.48007 -7.21183 0.694871 ]
17,-38.2287,[-4.01212 -3.71036 -4.02537 0.04491 1.30146 -7.67613 -1.52237 -7.41415 2.05426 -0.199849 1.29906 0.0349999 -24.0995 -1.75782 -16.7228 3.39304 4.72807 -4.11328 1.30798 2.35535 0.362237 3.18448 -19.9492 -7.11291 -1.94876 5.57616 -9.35649 -9.47052 -0.380626 1.29499 ]
18,-38.3768,[-3.41961 2.72702 -3.95692 0.595882 -9.89508 -1.79905 2.10955 -0.750852 -2.48366 -3.64603 -13.8781 -4.44285 1.48875 -16.7892 0.541909 -4.77544 -0.537037 -1.2489 -1.32651 -0.0653994 6.01888 2.40569 1.5314 1.62988 -20.018 -8.64681 -23.8482 -0.861352 -6.12729 -2.74474 ]
19,-37.8976,[0.611288 -12.8614 -1.02842 -15.1369 3.98234 -11.0291 0.781075 -5.99771 -4.5986 -1.11202 -16.2702 5.99942 -3.2572 -8.74087 -5.53699 0.681781 -1.14463 -4.51121 1.26634 -0.385422 -1.24437 -19.2633 -9.49815 0.212388 1.80663 -7.76313 -4.88153 1.23339 0.566498 -14.4486 ]
20,-37.4814,[-1.3765 -11.969 -6.67388 -1.59222 -4.15532 1.8212 3.04598 -3.8439 -15.9133 -10.1484 0.980215 -0.863646 -8.39816 -13.7202 -3.33046 -1.32186 -3.80155 1.39943 -12.2188 -8.04797 -21.3412 -1.08654 0.861953 2.85893 0.577554 -4.85681 -5.26144 -10.6267 -11.3548 1.14725 ]
