Run#,Result,Solution
1,10.1463,[-6.35212 27.0522 11.2795 16.2696 29.244 2.82658 28.5956 15.8167 1.43066 6.42062 -13.2525 14.9062 -19.8036 -17.6983 14.2327 19.7097 -24.4901 29.0492 -5.65505 3.32049 15.5044 -5.90716 -21.4833 -6.22478 -13.1036 -17.2375 20.8962 -3.18589 11.3655 20.0662 ]
2,10.1463,[24.8744 0.567852 2.98576 1.85604 -2.13307 -12.2085 -25.227 -25.671 12.1374 -19.6032 -1.94204 24.3294 23.268 -18.5522 -0.35001 -29.7931 -1.60085 6.67604 -24.4506 8.91863 13.1476 29.9224 -5.8538 -24.2847 -12.7558 1.16465 -19.08 26.3103 -16.8147 -2.27653 ]
3,10.1463,[13.6904 23.0865 20.2555 -10.3082 -24.1695 20.3088 -14.5634 20.2026 -8.87995 12.9327 27.5655 19.8508 25.9632 9.88025 -13.1528 18.938 19.3403 2.90294 10.4894 -6.51076 -16.9024 11.2602 -16.205 -5.05003 1.82595 -20.1185 -7.84272 10.3938 -9.03954 4.64762 ]
4,10.1463,[29.4801 -18.8604 19.8269 3.58513 -17.0849 -27.4326 23.0201 -2.15767 -3.91311 13.9192 24.3708 9.26072 13.6574 24.8989 20.4534 -22.2517 24.8791 3.26159 -1.08151 3.04978 -14.9333 20.7123 10.3233 -1.30447 -24.1177 -5.23762 10.6237 16.0629 26.6221 -16.8554 ]
5,10.1463,[8.6842 6.09727 1.32219 26.2668 -25.4934 7.36674 -9.89755 -20.1161 -23.2752 -0.632545 -29.5635 13.5745 -14.676 -28.5368 -2.75944 8.38943 -15.9197 -22.475 -29.9366 9.43502 -9.77009 -25.5475 -23.4553 22.92 2.10664 22.9484 -14.6966 -12.5738 19.0687 6.10037 ]
6,10.1463,[-24.409 13.9423 11.7296 17.2329 20.3562 -13.5542 0.830563 -19.1786 -6.20334 -1.90431 -13.741 -0.896023 -15.0178 23.8269 -5.34366 20.1675 -28.0546 3.20066 -3.94711 -22.3392 -13.8778 -28.6357 -5.19792 -25.275 -11.2189 -12.7095 -26.3504 -16.4851 7.76616 26.8811 ]
7,10.1463,[-15.1103 -10.3156 23.931 3.3999 14.4409 -7.58993 19.6332 20.3362 -4.39046 13.3321 -0.0633774 7.26999 3.47222 22.8147 5.09086 6.5091 -10.5445 -24.3538 -17.7886 24.9863 -23.8061 -18.3219 24.0916 -3.41475 -10.4221 -26.6433 -10.4505 25.456 6.6278 28.183 ]
8,10.1463,[13.0778 18.0588 -18.4922 -19.4566 20.9659 22.609 -8.71229 -26.8384 11.1716 17.3668 -10.73 -25.8405 18.0108 19.3442 10.3861 3.55766 -14.7306 -19.3701 -20.61 -12.454 -6.0173 -23.1515 8.59568 -18.2942 -16.3378 -8.77896 -17.166 -29.5117 -12.9539 1.95619 ]
9,10.1463,[-5.26944 -20.6898 11.1845 -1.00492 -10.1084 21.4734 -27.8983 14.1926 -20.8592 -21.5493 -19.5035 21.7526 -9.82841 27.6052 18.6616 -13.3229 -0.0119171 -0.570372 9.26327 -7.30824 27.6679 21.549 23.5601 29.3494 15.5521 -12.3428 19.8716 -10.9134 29.9543 0.0733356 ]
10,10.1463,[-1.56875 -22.1655 -3.4343 -23.8823 -1.46466 13.6617 -18.6953 6.30936 -18.2326 15.8353 20.8127 29.8113 -11.1303 12.3799 -16.4318 6.27748 -17.0606 -9.32092 -26.4489 27.1474 18.1671 -12.0228 -12.3026 -19.4457 -23.0738 -6.7725 -2.22836 -25.535 -27.4834 11.0865 ]
