Run#,fBest
1,-6.06692
2,-20.333
3,-29.7195
4,-40.7326
5,-40.3753
6,-17.6996
7,-40.8576
8,-11.7572
9,-24.006
10,-22.2262
11,-23.3139
12,-14.2589
13,-5.92802
14,-27.0214
15,-31.1555
16,-38.6261
17,1.24384
18,-38.5111
19,-41.7117
20,-13.9669
21,-50.7456
22,-35.9189
23,-46.0413
24,-9.08296
25,-20.1125
26,-29.8825
27,-25.0646
28,-31.5909
29,-22.1617
30,-43.727
31,-14.1852
32,-23.9417
33,-50.4196
34,-19.3393
35,-36.391
36,-28.1099
37,-23.8672
38,-39.0971
39,-17.7846
40,-29.5379
41,-32.166
42,-22.4979
43,-38.7299
44,-29.5481
45,-16.1827
46,-48.1795
47,-1.22206
48,-21.624
49,-35.0473
50,-5.21279
