Run#,fBest
1,155.097
2,161.372
3,105.989
4,102.419
5,146.228
6,143.281
7,136.801
8,115.67
9,137.657
10,141.219
11,162.446
12,158.668
13,150.426
14,129.894
15,98.8569
16,183.082
17,143.745
18,116.533
19,134.891
20,166.551
21,161.657
22,161.085
23,123.615
24,147.491
25,192.773
26,137.291
27,161.782
28,97.2767
29,130.841
30,103.825
31,140.122
32,129.164
33,141.23
34,148.981
35,172.091
36,161.799
37,125.493
38,119.241
39,135.917
40,106.915
41,153.786
42,146.666
43,157.786
44,141.032
45,162.264
46,136.323
47,155.064
48,156.664
49,197.668
50,134.95
