Run#,Result
1,146.643
2,157.911
3,119.537
4,100.658
5,119.833
6,159.766
7,177.547
8,157.415
9,157.653
10,120.721
11,142.718
12,151.463
13,151.996
14,154.006
15,139.893
16,143.925
17,142.002
18,152.584
19,208.563
20,113.664
21,124.363
22,112.034
23,172.302
24,129.4
25,171.192
26,117.894
27,113.897
28,120.432
29,116.27
30,142.901
31,131.184
32,180.994
33,130.692
34,101.868
35,128.509
36,191.273
37,146.101
38,148.879
39,149.134
40,205.484
41,141.147
42,183.34
43,145.747
44,157.762
45,160.358
46,151.896
47,119.74
48,146.848
49,174.132
50,140.519
