Run#,fBest
1,27.2002
2,24.5734
3,30.4764
4,45.7239
5,31.1492
6,26.5483
7,36.1132
8,28.185
9,29.9608
10,38.287
11,22.3165
12,24.4723
13,24.1865
14,21.2401
15,27.0047
16,19.4574
17,32.0836
18,24.075
19,23.1221
20,20.0187
21,35.5602
22,20.3879
23,23.4953
24,43.0087
25,20.3542
26,36.93
27,33.7232
28,28.8111
29,29.6914
30,19.0717
31,30.4885
32,26.3517
33,35.3255
34,28.6373
35,26.0536
36,26.7188
37,20.7214
38,27.6379
39,24.5783
40,27.6061
41,24.6914
42,41.2182
43,26.4462
44,23.6287
45,22.3656
46,26.5993
47,23.2925
48,23.75
49,27.4871
50,24.394
