Run#,Result
1,-17131.4
2,-15865.8
3,-17315.3
4,-16277.9
5,-17312.4
6,-17060.5
7,-16115.4
8,-17206.3
9,-16973
10,-16055.4
11,-17359
12,-18631.1
13,-15637.3
14,-16461.8
15,-15698.2
16,-17868.9
17,-16909.5
18,-17213.5
19,-16799.7
20,-16519.8
21,-16420.1
22,-18146.6
23,-17179.3
24,-17757.4
25,-18197
26,-15887.5
27,-17462.3
28,-16300.4
29,-15563.1
30,-16339
31,-16915.9
32,-14805.3
33,-18204.8
34,-17737.9
35,-16999.7
36,-17873.4
37,-18110.6
38,-16844.1
39,-16499.7
40,-18229.3
41,-17644.8
42,-17612.9
43,-15978.5
44,-17368
45,-17230.3
46,-15931.9
47,-16089.5
48,-16428
49,-17268.3
50,-17262.6
