Run#,Result
1,2993.82
2,3388.43
3,1978.75
4,1068.8
5,2658.07
6,2169.08
7,3597.43
8,1708.43
9,605.795
10,3175.08
11,1016.99
12,1095.4
13,560.318
14,1854.06
15,610.878
16,1048.4
17,1066.64
18,695.117
19,1176.26
20,1033.93
21,2290.39
22,831.797
23,2427.52
24,958.182
25,2116.4
26,1919.74
27,1231.31
28,2088.42
29,1421.85
30,2121.73
31,1227.28
32,2143.62
33,792.402
34,1141.31
35,1311.89
36,2911.87
37,1255.69
38,888.474
39,2091.04
40,917.146
41,2453.05
42,671.023
43,1151.59
44,1291.61
45,991.102
46,2307.99
47,4833.48
48,1583.49
49,2360.71
50,2684.13
