Run#,fBest
1,6.8577
2,12.4256
3,5.25915
4,8.12545
5,17.1298
6,13.7955
7,15.1956
8,10.6779
9,6.44662
10,8.43228
11,11.4073
12,21.9531
13,7.95176
14,13.5189
15,7.95516
16,12.2604
17,13.8473
18,11.562
19,18.0885
20,13.1581
21,10.6618
22,8.91154
23,12.1768
24,8.48323
25,11.0167
26,18.0615
27,15.2203
28,14.9665
29,10.744
30,7.57159
31,20.5792
32,23.8412
33,16.6812
34,10.0488
35,7.70256
36,13.7377
37,8.48925
38,17.4754
39,9.58763
40,16.4046
41,13.6533
42,9.90004
43,16.1974
44,14.8695
45,8.39617
46,11.1595
47,9.27897
48,2.7369
49,10.6797
50,17.4325
