Run#,f best
1,[323.94 323.94 304.657 285.936 193.744 193.744 191.558 156.948 131.383 131.383 131.383 129.088 123.48 106.738 98.1197 98.1197 76.9196 76.8143 76.0459 70.2831 70.2831 65.5262 57.9498 57.9498 55.028 55.028 52.03 52.03 51.3179 49.6203 47.5859 46.1921 46.1921 42.5578 41.4169 40.0517 37.8292 37.8292 36.2811 31.3987 30.9174 30.9174 26.2788 26.2788 25.7103 24.0109 22.2461 22.0846 21.7069 21.7069 19.9357 19.6454 18.7068 17.5653 17.5653 16.7424 16.2425 16.2425 16.2425 15.8482 15.8482 15.223 14.9686 14.7197 14.4026 12.9997 12.9341 12.9341 12.3352 12.3283 12.1122 11.7144 11.7144 11.4926 11.4926 11.4926 11.4926 11.2069 11.2069 11.0621 11.0621 11.0621 10.9788 10.9423 10.5412 10.5412 10.2583 10.2583 10.2583 10.2583 10.2583 9.94023 9.89587 9.89587 9.65096 9.41013 9.3376 9.3376 9.29103 9.22223 ]
2,[409.822 409.822 375.188 375.188 349.177 256.718 249.986 249.986 246.817 211.831 167.767 147.678 145.042 129.126 96.085 96.085 96.085 96.085 96.085 93.7556 89.072 77.0933 67.3019 60.1819 60.1819 60.1819 55.8395 49.1609 49.1609 45.7351 45.7351 45.7351 43.5005 40.4938 40.4938 40.4938 40.4938 35.2583 35.2583 35.2583 35.1027 35.1027 33.1594 33.1594 32.1018 30.0825 29.385 28.887 27.2675 25.5989 25.5989 25.5367 24.7073 24.7073 24.1774 24.1774 22.825 22.4076 22.1623 22.1332 21.4766 21.4766 21.2387 20.8691 20.6412 20.4348 20.4348 20.3072 20.2995 19.9352 19.9352 19.9352 19.8258 19.8258 19.8258 19.5265 19.4759 19.4759 19.1893 19.1893 19.1893 19.1893 19.1529 19.1529 19.1514 19.1214 19.079 19.0653 19.0653 19.0653 19.0384 19.0384 18.9916 18.9654 18.9654 18.9654 18.9645 18.9242 18.9192 18.9192 ]
3,[353.075 353.075 304.939 292.399 292.399 269.617 252.078 210.144 193.254 193.254 193.254 185.555 164.914 154.258 135.596 135.596 126.236 116.326 92.6313 92.6313 91.1831 84.3799 74.4155 69.6244 69.6244 68.8842 65.8716 60.7001 60.7001 60.1194 57.2912 54.24 50.3825 47.9707 47.6158 46.0092 44.6534 44.6534 41.4568 40.0288 39.0056 38.0685 35.7191 34.3679 33.5001 33.1395 33.1395 32.4458 31.1131 30.5449 29.8956 29.5292 29.0918 29.0918 27.6945 27.559 27.559 27.2677 27.2677 26.8031 26.3592 26.3592 26.3592 26.3041 26.2207 26.2207 25.9685 25.9576 25.6557 25.6557 25.6557 25.4046 25.4046 24.9313 24.8488 24.7517 24.5774 24.5774 24.5688 24.3535 24.3535 24.3265 24.3265 24.3265 24.3014 24.2716 24.1733 24.1613 24.1613 24.1613 24.1168 24.1168 24.1168 24.1168 24.0564 24.0564 24.0564 24.007 23.9984 23.9984 ]
4,[348.936 348.936 331.222 312.791 273.127 253.095 216.985 191.695 191.695 191.695 179.866 174.214 138.875 129.168 115.517 115.517 115.517 115.517 100.305 94.1777 91.1154 85.1372 82.3658 75.1483 74.4264 69.4853 67.8623 60.294 59.331 56.9524 56.4516 52.6186 51.3314 49.9784 43.6894 43.4395 40.8849 40.5672 37.3407 37.3407 36.9799 34.0462 30.7762 29.6519 29.6519 28.191 25.5957 24.9858 23.4124 22.7939 20.9791 19.597 19.0183 18.8253 17.2713 16.2131 16.03 15.7868 14.8589 13.8832 13.4316 12.8676 12.5843 11.4492 11.4492 10.2405 10.005 10.005 9.51184 9.35727 9.35295 8.77054 8.58035 8.30335 8.26522 8.22129 8.19479 8.07096 7.91779 7.91779 7.74763 7.66923 7.33498 7.33498 7.33498 7.33498 7.08451 7.08451 6.95412 6.94038 6.85012 6.67861 6.368 6.368 6.368 6.3417 6.25618 6.2359 6.01467 5.995 ]
5,[340.836 337.543 337.543 319.657 276.657 258.315 226.318 164.167 164.167 147.128 147.128 147.128 110.465 110.465 85.3177 85.3177 81.8554 81.8554 81.8554 54.8876 54.8876 53.03 53.03 53.03 53.03 51.9813 49.38 49.38 48.3857 47.0211 46.0455 45.4644 41.8654 40.4699 39.0666 39.0666 38.7005 38.7005 35.9095 35.9095 35.0618 34.0987 34.0987 33.0296 31.9272 31.9272 28.9209 28.9209 28.5847 27.7488 26.9836 25.3423 25.3423 25.1899 25.1021 25.1021 25.1021 24.0343 24.0343 23.6295 22.8042 22.5817 22.4301 21.8261 21.5886 21.5732 21.5732 21.162 20.7387 20.713 20.5711 19.8469 19.8469 19.61 19.562 19.5493 19.4665 19.0285 19.0285 19.0285 19.0285 19.0285 18.9703 18.9194 18.8535 18.4943 18.4943 18.4943 18.4861 18.4861 18.4861 18.4861 18.3404 18.3389 18.2985 18.2985 18.2985 18.2194 18.2194 18.2194 ]
6,[382.299 378.087 310.8 299.964 299.11 279.333 256.687 232.398 232.398 206.101 199.363 156.531 133.955 133.955 132.28 131.536 113.05 98.894 98.894 87.399 85.0573 75.7043 75.6668 70.5828 66.4204 64.1161 62.8511 61.3012 56.7998 56.7998 50.68 46.0768 46.0768 46.0768 42.3879 42.3879 39.8039 38.2905 35.7531 34.2209 33.6568 33.4825 30.686 30.686 30.686 29.3016 29.1572 28.0708 27.6046 27.247 26.1078 25.3045 25.3045 24.4993 24.4993 24.4993 22.7321 22.6139 21.5568 21.5568 21.5568 21.5568 21.4982 21.3532 21.2361 20.9615 20.6877 20.4012 20.3287 20.1544 19.9589 19.4084 19.4084 19.1613 19.0965 18.9417 18.9089 18.826 18.6593 18.4885 18.2773 18.2773 18.197 18.0366 17.9671 17.9424 17.9424 17.766 17.7595 17.7595 17.7486 17.7373 17.7373 17.711 17.6966 17.6966 17.6675 17.6675 17.6675 17.6511 ]
7,[369.543 344.148 306.588 306.588 273.939 272.407 216.776 187.702 187.702 172.502 167.841 165.511 132.069 118.91 106.704 106.704 100.507 84.1689 75.8009 72.8094 66.6935 66.4481 62.0256 62.0256 56.2495 51.1388 51.1388 50.3623 43.2736 40.9896 40.9896 37.2367 35.6962 35.6962 34.8597 34.7972 34.3514 29.8125 29.8125 29.8125 26.5583 24.7222 21.9086 21.9086 21.9086 20.7478 19.9563 19.6513 17.4168 17.4168 17.4168 15.6544 15.6544 15.6544 15.6544 15.4834 15.0595 14.9386 14.6305 14.6305 14.3104 14.3104 14.0322 14.0322 13.8641 13.5456 13.1682 13.1682 12.9507 12.7467 12.4628 12.3302 12.2654 12.2371 12.2371 12.1748 12.087 12.0596 12.0344 12.0344 12.0344 12.0344 12.0344 11.9733 11.9733 11.9733 11.9733 11.9733 11.9733 11.9733 11.9733 11.8862 11.8862 11.8862 11.8862 11.8862 11.8862 11.8862 11.8862 11.8862 ]
8,[394.805 394.036 394.036 327.708 294.939 270.867 270.867 245.095 212.115 208.513 160.741 160.741 140.943 140.943 132.08 121.115 102.149 100.126 95.8099 95.8099 69.8242 69.8242 69.8242 68.9073 63.889 55.8922 55.8922 55.4671 52.6016 49.5658 48.4359 48.4359 46.4121 44.5179 44.1195 40.5205 40.5205 39.3018 38.7911 37.6342 33.8429 33.8429 32.199 30.6798 28.2907 28.2907 27.8302 24.8144 23.9017 22.0544 20.7662 20.7662 20.7662 18.9202 18.8915 18.6044 18.6044 16.7189 16.7189 16.7189 15.5166 14.3945 14.3563 14.3563 14.3563 14.3188 13.9659 13.5075 13.5075 13.2528 12.9641 12.9641 12.9641 12.7344 12.5535 12.5535 12.5535 12.5535 12.3475 12.2806 12.185 12.1197 12.0962 12.0893 11.9601 11.929 11.8844 11.8395 11.724 11.724 11.724 11.724 11.7147 11.6224 11.6224 11.5921 11.5921 11.5797 11.53 11.4404 ]
9,[352.038 337.054 337.054 337.054 277.475 277.475 243.745 140.317 140.317 140.317 140.317 104.656 103.541 103.541 103.541 103.541 82.3433 71.7447 70.7239 70.7239 70.6344 64.1756 55.5173 55.5173 55.5173 54.0296 46.8416 46.8416 45.9369 43.6445 38.7098 38.7098 36.6343 34.0742 32.0685 31.4132 30.9661 30.2452 30.2452 29.2223 28.5198 26.676 26.676 25.912 25.6541 22.4611 22.1101 20.833 18.3896 17.9895 17.9895 17.9895 17.6348 16.9793 16.9793 16.7987 16.5964 15.7603 15.7603 15.7603 15.696 15.696 15.3602 15.206 15.206 15.206 14.9815 14.9815 14.9815 14.9815 14.9815 14.9815 14.9815 14.9815 14.8868 14.8868 14.8868 14.8274 14.8239 14.7631 14.6708 14.6708 14.5515 14.5515 14.5515 14.5515 14.5233 14.5081 14.5067 14.4424 14.4424 14.3787 14.3787 14.3325 14.305 14.3007 14.2976 14.2343 14.2343 14.2343 ]
10,[410.336 410.006 348.776 332.82 325.909 294.305 267.477 251.014 243.455 236.221 208.835 193.211 168.901 168.901 162.639 162.639 147.121 145.61 141.496 120.966 120.966 120.966 104.416 104.416 91.8046 91.8046 91.8046 86.0158 78.3866 78.3866 70.8298 66.3536 66.3536 63.6052 61.7966 55.3391 55.3391 52.671 49.217 46.852 43.8969 42.5759 39.8838 39.8838 39.8838 37.6918 37.4621 37.33 35.2821 34.6983 34.6983 33.428 33.0786 33.0786 30.4804 30.0042 30.0042 29.4155 29.0065 28.7022 28.6515 28.3688 28.0517 28.0517 27.5195 27.141 27.0936 26.5917 26.5917 26.5917 25.9716 25.9716 25.9472 25.8113 25.729 25.4864 25.4864 25.2278 25.2278 25.2094 24.9639 24.9639 24.8792 24.8568 24.7136 24.518 24.518 24.518 24.4766 24.4241 24.4241 24.4117 24.3754 24.1518 24.0736 24.0578 24.0323 24.0323 24.0216 24.0216 ]
