Run#,Result
1,9.22223
2,18.9192
3,23.9984
4,5.995
5,18.2194
6,17.6511
7,11.8862
8,11.4404
9,14.2343
10,24.0216
11,7.04829
12,6.05792
13,10.9386
14,4.16548
15,10.813
16,13.5159
17,13.7598
18,25.2844
19,12.3222
20,16.3747
21,8.55666
22,13.6501
23,14.2803
24,20.9002
25,14.0412
26,22.9596
27,19.2357
28,5.45203
29,14.2146
30,8.26827
31,15.6402
32,28.6002
33,17.3052
34,12.5299
35,14.7794
36,7.72108
37,18.4465
38,15.8016
39,8.17481
40,9.60142
41,15.1455
42,10.5726
43,11.3255
44,15.4367
45,13.227
46,10.7815
47,10.4431
48,7.00531
49,27.8908
50,6.56525
