Run#,f best
1,[-0.728096 -0.728096 -0.728096 -0.728096 -0.757215 -1.09084 -1.87975 -2.17576 -2.22748 -2.69646 -2.6983 -2.95637 -3.06027 -3.43449 -3.44261 -3.60349 -3.84811 -3.87647 -4.27995 -4.28039 -4.32817 -4.33162 -4.55199 -4.79835 -4.79835 -5.22276 -5.25133 -5.25133 -5.34053 -5.6404 -5.6404 -5.64359 -6.09248 -6.09248 -6.09248 -6.09248 -6.09248 -6.09248 -6.14155 -6.14155 -6.28909 -6.28909 -6.32354 -6.48044 -6.48094 -6.4882 -6.79252 -6.84634 -6.85584 -7.18523 -7.18723 -7.28923 -7.388 -7.38962 -7.51989 -7.51989 -7.51989 -7.61442 -7.65132 -7.65332 -7.65332 -7.92007 -7.92007 -7.92007 -8.09052 -8.10294 -8.10294 -8.35202 -8.39271 -8.39271 -8.50583 -8.5708 -8.5708 -8.79733 -8.79733 -8.79733 -8.79733 -8.83331 -8.83331 -8.83331 -9.17387 -9.17387 -9.17387 -9.17387 -9.21264 -9.29213 -9.29213 -9.29213 -9.29213 -9.29213 -9.3102 -9.3102 -9.31859 -9.31859 -9.34458 -9.42721 -9.42721 -9.42721 -9.42721 -9.43604 ]
2,[-0.975952 -1.41199 -1.51217 -1.78483 -1.78483 -1.79524 -1.79524 -2.24031 -2.88825 -2.88876 -3.65169 -3.65169 -3.6518 -4.23539 -4.49873 -4.49884 -4.49884 -4.53571 -4.86891 -4.89309 -4.89309 -4.89309 -4.93817 -5.2116 -5.35801 -5.35801 -5.35801 -5.41056 -5.8038 -6.11207 -6.11207 -6.19309 -6.19309 -6.19309 -6.29799 -6.41031 -6.41031 -6.47976 -6.54659 -6.67353 -6.79748 -7.17515 -7.17515 -7.17515 -7.17515 -7.43615 -7.56309 -7.56309 -7.56309 -7.68342 -7.68342 -7.68342 -7.68342 -7.83231 -7.83231 -7.83231 -7.83231 -7.83231 -7.83231 -8.0443 -8.0443 -8.09864 -8.09864 -8.27182 -8.27182 -8.36835 -8.45666 -8.45666 -8.65824 -8.74236 -8.74236 -8.77769 -8.85613 -9.18221 -9.18221 -9.39494 -9.39494 -9.39494 -9.39494 -9.54037 -10.2631 -10.2631 -10.2631 -10.5569 -10.5569 -10.5569 -10.5569 -10.5569 -10.5569 -10.5569 -10.5569 -10.6092 -10.6092 -11.5473 -11.5473 -11.5473 -11.5473 -11.5473 -11.5473 -11.5473 ]
3,[-1.0059 -1.00909 -1.30444 -1.30444 -1.47066 -1.68325 -2.19239 -2.27816 -2.66207 -2.66207 -4.14095 -4.15793 -4.15793 -4.15793 -4.44699 -4.77301 -4.77301 -4.77301 -5.18977 -5.604 -5.604 -5.61181 -6.68861 -6.68861 -6.68861 -6.68861 -6.68861 -7.05194 -7.11797 -7.11797 -7.34253 -7.37652 -7.78414 -7.78414 -7.78414 -7.78414 -7.78414 -7.78414 -7.78414 -7.78414 -7.78414 -7.78593 -7.78593 -7.78593 -7.78593 -7.78593 -8.01672 -8.01672 -8.01672 -8.01672 -8.31835 -8.31835 -8.31835 -8.31835 -8.32357 -8.47584 -8.54806 -8.5486 -8.5486 -8.57488 -8.8823 -8.8823 -8.8823 -8.8823 -8.8823 -8.94619 -8.94732 -9.86205 -9.86205 -9.86205 -9.86205 -9.86318 -9.86318 -9.86318 -9.86318 -9.86318 -9.86318 -9.86339 -9.86339 -9.96382 -9.96382 -9.96382 -9.96382 -9.96382 -9.96382 -9.96382 -9.96382 -9.96382 -9.96382 -9.96382 -10.1845 -10.2283 -10.2283 -10.2283 -10.2283 -10.3287 -10.3287 -10.3287 -10.3287 -10.3287 ]
4,[-1.00374 -1.00374 -1.29652 -1.29652 -1.29652 -1.82142 -1.93459 -1.93459 -2.71315 -2.71315 -2.85198 -2.85198 -3.67173 -4.00012 -4.00012 -4.93385 -5.17267 -5.20568 -5.28759 -5.95229 -5.99416 -6.14408 -6.72915 -6.96758 -6.96758 -7.35566 -7.35566 -7.35566 -7.37983 -7.76224 -7.94612 -7.94612 -7.94612 -8.03114 -8.12507 -8.30968 -8.49423 -8.49423 -8.49423 -8.49423 -9.11083 -9.11083 -9.11083 -9.11083 -9.11083 -9.11083 -9.11083 -9.11083 -9.80296 -9.80296 -9.80296 -9.84292 -9.84292 -9.84292 -10.0187 -10.0187 -10.0187 -10.0187 -10.0187 -10.0187 -10.1783 -10.1783 -10.3007 -10.3007 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8051 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.8091 -10.9229 -11.1616 -11.1616 -11.1616 -11.4639 -11.4673 ]
5,[-0.72605 -0.746884 -1.2293 -1.2293 -1.2293 -1.2293 -1.98015 -1.98015 -1.98015 -1.98015 -2.23603 -2.69958 -2.69958 -3.4731 -3.4731 -3.6731 -3.81863 -4.08251 -4.42932 -4.8081 -4.8081 -4.8081 -4.8081 -4.8081 -4.8081 -4.97114 -5.22062 -5.26581 -5.72263 -5.72263 -5.82055 -5.83457 -5.83457 -6.19028 -6.37898 -6.37898 -6.37898 -6.50825 -6.52908 -6.64143 -6.70454 -6.8743 -7.07255 -7.17569 -7.17569 -7.87363 -7.87363 -7.87363 -7.99149 -7.99926 -8.23881 -8.23881 -8.53551 -8.53551 -8.82421 -8.82421 -8.82421 -9.09946 -9.34502 -9.8297 -10.1124 -10.1124 -10.1124 -10.1124 -10.1124 -10.1124 -10.1124 -10.1124 -10.2849 -10.2849 -10.3619 -10.3619 -10.3683 -10.3683 -10.4202 -10.4202 -10.7029 -10.7029 -10.7029 -10.7727 -10.7727 -10.7727 -10.8642 -10.8642 -10.8642 -10.8642 -10.8642 -10.8642 -10.8642 -10.8642 -10.9127 -10.9127 -10.9127 -10.9215 -10.9215 -10.9215 -10.9472 -10.9472 -10.9472 -10.9505 ]
6,[-1.20746 -1.20746 -1.20746 -1.20746 -1.20746 -1.65217 -1.65217 -2.13255 -2.13255 -2.98107 -3.02389 -3.02389 -3.02389 -3.02389 -3.02389 -3.02389 -3.12858 -3.60639 -3.60639 -3.60639 -3.60639 -3.60639 -3.60639 -3.63284 -4.10892 -4.39873 -4.39873 -4.39915 -4.39915 -4.65988 -4.86555 -4.86555 -4.91684 -5.02869 -5.21136 -5.35896 -5.35896 -5.46745 -5.46745 -5.58812 -5.73271 -5.73271 -5.73271 -5.73271 -5.80265 -5.80265 -5.82163 -6.12112 -6.12112 -6.12112 -6.12112 -6.12112 -6.13551 -6.13551 -6.35183 -6.35695 -6.35695 -6.63273 -6.63273 -6.63273 -6.63273 -6.83469 -6.83469 -7.15171 -7.15171 -7.15171 -7.15171 -7.15171 -7.15171 -7.19406 -7.32609 -7.32609 -7.32609 -7.32609 -7.32609 -7.32609 -7.32609 -7.32609 -7.32609 -7.32609 -7.82909 -7.82909 -7.84349 -7.84349 -7.85996 -7.86213 -7.88039 -7.8828 -7.8828 -7.8828 -7.8828 -7.8828 -7.8828 -7.8828 -7.8828 -7.8828 -7.8828 -7.93329 -7.93329 -7.93329 ]
7,[-0.865177 -0.865177 -1.22802 -1.35078 -1.55868 -1.57986 -1.85772 -2.28787 -2.41384 -2.89716 -2.89716 -3.41652 -3.85681 -3.99259 -3.99259 -4.29637 -4.55614 -5.50808 -5.52064 -5.52064 -5.97009 -6.25557 -6.85942 -6.8673 -6.8673 -6.8673 -7.22933 -7.37615 -7.5748 -7.5748 -7.5748 -7.58028 -7.76776 -7.84348 -7.84995 -8.07262 -8.07262 -8.07262 -8.12855 -8.28735 -8.28735 -8.37294 -8.57241 -8.69271 -8.76802 -8.76802 -8.76861 -8.76874 -8.76874 -9.36185 -9.3622 -9.3622 -9.39041 -9.43964 -9.43964 -9.64358 -9.64394 -9.64394 -9.64411 -9.6443 -9.6443 -9.6443 -9.68186 -9.8171 -9.8171 -9.8171 -9.8171 -9.89689 -9.89689 -9.89689 -9.89689 -9.89689 -9.89689 -9.89689 -9.89689 -9.89689 -10.0531 -10.0531 -10.0531 -10.0697 -10.0697 -10.0697 -10.132 -10.132 -10.132 -10.132 -10.132 -10.132 -10.132 -10.1677 -10.1677 -10.168 -10.2462 -10.2462 -10.2462 -10.2469 -10.2469 -10.2469 -10.2512 -10.2514 ]
8,[-0.766569 -0.766569 -1.22758 -1.22758 -1.37488 -1.44963 -2.28825 -2.48049 -2.48049 -2.62127 -2.76202 -2.93522 -4.00606 -4.00606 -4.00606 -4.00606 -4.25853 -4.68812 -4.68812 -5.13247 -5.13247 -5.13247 -5.28627 -5.86193 -5.86193 -5.86193 -6.5714 -6.5714 -6.5714 -6.5714 -6.5714 -6.5714 -6.5714 -6.81316 -6.81316 -6.96439 -6.96439 -6.96626 -7.03867 -7.68861 -7.68861 -7.68861 -7.94374 -8.12859 -8.12859 -8.47388 -8.47408 -8.57452 -8.57452 -8.57452 -8.69422 -8.69422 -8.69422 -8.69422 -8.69422 -8.7703 -8.88514 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.30674 -9.70299 -9.70299 -9.70299 -10.1287 -10.1287 -10.2575 -10.3355 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.603 -10.718 -10.718 -10.718 -10.718 ]
9,[-1.59187 -1.63452 -1.63452 -1.73799 -1.73799 -1.88882 -2.50938 -2.55954 -2.55954 -3.08966 -3.19162 -3.19162 -3.19162 -3.7699 -4.20193 -4.20193 -4.20193 -4.20193 -5.35741 -5.61323 -5.61323 -5.61323 -5.80597 -5.97154 -6.0642 -6.0642 -6.0642 -6.0642 -6.0642 -6.0642 -6.0642 -6.41735 -7.13103 -7.40345 -7.40345 -7.40345 -7.40345 -7.99272 -7.99272 -7.99272 -8.16984 -8.16984 -8.92037 -8.92037 -8.92037 -8.9221 -9.31868 -9.51535 -9.51535 -9.51535 -9.51535 -9.51535 -9.51535 -9.57175 -9.63023 -9.63023 -9.63023 -9.71494 -9.80133 -9.80133 -9.80133 -9.93962 -9.93962 -9.93962 -9.93962 -9.93962 -9.93962 -9.93962 -9.93962 -10.0397 -10.0397 -10.0603 -10.9307 -11.1417 -11.1417 -11.1417 -11.1417 -11.1417 -11.3075 -11.366 -11.366 -11.366 -11.366 -11.366 -11.6581 -11.7166 -11.7166 -11.859 -12.0153 -12.0153 -12.1369 -12.1369 -12.1369 -12.1369 -12.3314 -12.3314 -12.453 -12.453 -12.453 -12.6939 ]
10,[-0.798554 -0.798554 -0.798554 -1.82455 -1.82455 -2.2408 -2.82824 -2.82824 -2.82824 -2.82824 -2.82824 -3.34602 -4.25881 -4.25881 -5.04988 -5.04988 -5.30045 -5.32708 -5.39628 -5.71367 -5.71367 -6.06453 -6.59944 -6.77658 -6.77658 -6.77658 -6.77658 -7.03043 -7.0623 -7.19254 -7.49511 -7.49511 -7.49511 -7.49511 -7.49568 -7.78417 -7.8063 -8.14761 -8.14761 -8.14761 -8.14761 -8.14761 -8.14761 -8.57089 -8.57089 -8.81774 -8.81774 -8.81774 -8.90919 -8.92698 -8.92698 -8.92698 -8.92698 -8.92698 -8.97769 -9.16881 -9.16881 -9.2224 -9.24222 -9.52098 -9.52098 -9.52098 -9.52098 -9.5427 -9.55001 -9.91643 -9.91643 -10.1952 -10.1952 -10.4579 -10.4579 -10.4579 -10.4988 -10.4988 -10.5222 -10.5222 -10.5228 -10.5228 -10.5228 -10.5228 -10.5992 -10.5992 -10.5992 -10.5992 -10.6001 -10.6208 -10.6208 -10.6208 -10.6208 -10.6208 -10.6208 -10.6208 -10.6208 -10.6376 -10.6376 -10.6445 -10.6547 -10.7729 -10.7729 -10.7729 ]
