Run#,fBest
1,-25.3032
2,-26.0764
3,-24.377
4,-25.835
5,-25.8181
6,-27.578
7,-26.718
8,-26.3675
9,-27.4637
10,-26.2876
11,-26.1176
12,-25.7758
13,-26.443
14,-25.5066
15,-25.3225
16,-27.044
17,-26.4282
18,-25.9608
19,-27.3201
20,-24.4551
21,-27.0289
22,-24.9463
23,-24.6432
24,-25.9245
25,-25.6886
26,-25.6033
27,-26.4938
28,-26.141
29,-27.1838
30,-26.8367
31,-24.5995
32,-25.7373
33,-25.6801
34,-27.1897
35,-26.6789
36,-26.0426
37,-26.921
38,-26.3009
39,-26.8753
40,-26.7323
41,-25.3529
42,-26.6808
43,-25.991
44,-25.7554
45,-25.2906
46,-26.9475
47,-26.3838
48,-26.6409
49,-25.8731
50,-25.0165
