Run#,Result
1,-25.0635
2,-26.5238
3,-26.493
4,-25.2195
5,-26.2605
6,-26.396
7,-25.5582
8,-27.1442
9,-26.9409
10,-26.7343
11,-25.806
12,-26.8139
13,-25.3053
14,-27.0613
15,-25.9144
16,-26.5819
17,-26.2141
18,-27.8304
19,-25.4706
20,-27.381
21,-26.3234
22,-25.9191
23,-26.637
24,-26.285
25,-26.6637
26,-26.6727
27,-26.3996
28,-26.434
29,-26.0244
30,-26.0164
31,-26.4086
32,-26.8664
33,-26.5142
34,-26.9157
35,-26.0899
36,-26.8949
37,-25.9685
38,-27.5683
39,-25.3114
40,-25.9086
41,-26.8294
42,-24.0999
43,-26.9549
44,-25.5975
45,-26.567
46,-26.2335
47,-26.9982
48,-25.8427
49,-26.3377
50,-25.5785
