Run#,Result
1,-9.76921
2,-11.9656
3,-10.799
4,-8.77146
5,-12.5393
6,-11.858
7,-9.55331
8,-13.461
9,-11.9446
10,-9.54179
11,-8.81131
12,-11.3252
13,-9.16846
14,-12.6624
15,-14.524
16,-9.05315
17,-9.59439
18,-13.8024
19,-9.27859
20,-9.05249
21,-13.0882
22,-11.9975
23,-11.5544
24,-9.39784
25,-9.80425
26,-13.0606
27,-7.88633
28,-9.58177
29,-10.975
30,-9.4455
31,-12.4845
32,-9.20406
33,-12.1222
34,-12.7935
35,-9.90722
36,-9.5726
37,-9.90696
38,-10.4399
39,-13.5673
40,-10.8893
41,-9.7879
42,-15.0881
43,-9.24233
44,-10.13
45,-7.55483
46,-11.7207
47,-10.5509
48,-10.6219
49,-10.7788
50,-11.8874
