Run#,Result
1,3.95415e+07
2,3.47319e+07
3,2.86119e+07
4,8.62956e+06
5,3.38296e+07
6,4.86467e+07
7,8.80907e+06
8,6.73908e+07
9,3.37219e+07
10,2.46582e+07
11,1.79414e+08
12,1.07086e+08
13,1.35124e+07
14,1.00786e+07
15,1.08059e+07
16,3.7307e+07
17,6.17613e+06
18,3.93927e+07
19,2.14832e+07
20,2.52e+07
21,3.0341e+07
22,1.19117e+08
23,1.42039e+08
24,3.05563e+07
25,1.08476e+07
26,7.21012e+07
27,1.57471e+07
28,6.26058e+07
29,1.7282e+07
30,5.68805e+07
31,9.79368e+06
32,6.90091e+07
33,3.47835e+07
34,6.09944e+06
35,4.2201e+07
36,1.11011e+08
37,1.61537e+07
38,9.06726e+07
39,3.34021e+07
40,2.8247e+07
41,1.22215e+07
42,2.45151e+07
43,5.07745e+06
44,2.05929e+08
45,8.50134e+07
46,5.97146e+06
47,3.41084e+07
48,1.63178e+07
49,4.53467e+07
50,3.23233e+07
