Run#,Result
1,-10433.8
2,-10198.1
3,-11382.7
4,-10817.8
5,-10873
6,-10830.4
7,-9926.21
8,-11098.2
9,-10179.6
10,-10330.3
11,-11029.8
12,-10682.4
13,-10979.7
14,-10066
15,-10471.3
16,-10792.6
17,-10958.2
18,-9768.74
19,-9989.75
20,-10333.8
21,-10808
22,-10313.6
23,-10855.5
24,-10841.1
25,-10809.2
26,-11063.4
27,-10986.9
28,-10664.2
29,-9933.05
30,-10527
31,-10736.1
32,-10288.8
33,-10598.2
34,-10535.6
35,-10199.1
36,-10020.8
37,-10935.7
38,-10484.4
39,-9990.01
40,-10979.7
41,-11145.4
42,-10905.5
43,-11639.2
44,-10799.5
45,-11357.5
46,-11136.5
47,-10213.6
48,-10647.7
49,-10934.2
50,-10195
