Run#,fBest
1,-13384.9
2,914.388
3,41248.3
4,-12262.5
5,24391.3
6,-47628.2
7,23563.6
8,-21096.2
9,-11664.8
10,-13462
11,23384.6
12,111409
13,9786.19
14,37627.2
15,5178.02
16,17282
17,-8350.92
18,-21922.6
19,-16847.6
20,-11104.9
21,50118.5
22,-15906.1
23,-14638.2
24,1345.36
25,-6123.3
26,-2845.94
27,-22083.6
28,-37956.2
29,-4482.67
30,-12633.9
31,-30231.8
32,-28355.1
33,-4425.57
34,-798.449
35,-9746.8
36,-31426.7
37,-19068.2
38,54.1761
39,28641.1
40,52173.8
41,19250.4
42,-6381.31
43,-32224.1
44,19357.7
45,-14027.7
46,-17866.2
47,36054.5
48,67801.4
49,-5903.74
50,-10092.1
