Run#,f best
1,[1.6132e+06 1.6132e+06 1.35763e+06 1.35763e+06 1.25434e+06 1.18462e+06 1.07124e+06 933132 910491 802143 608798 549827 491057 491057 491057 491057 464893 404144 396034 392056 367892 320360 318844 307951 252728 239778 194895 194895 187650 187650 155436 144129 144129 143021 121861 115609 103245 101969 93636.1 85680.2 75202.4 68722.5 57286.8 57286.8 52428.2 50967.7 50439.5 40262.9 35462.7 35462.7 35462.7 35462.7 28897.6 28897.6 27658.1 26454.5 21685.3 21685.3 21544.2 20528.5 19833.6 17303.1 17218.9 13729.3 13240.3 10202 7286.71 7286.71 3891.4 -2062.2 -2062.2 -2238.1 -4627.54 -5501.16 -5501.16 -9334.84 -9334.84 -10633.2 -11935.7 -12249.7 -15786.2 -15786.2 -19028.3 -19028.3 -19028.3 -19113.6 -20765.7 -21317.6 -21317.6 -21317.6 -22428.5 -22428.5 -22428.5 -23725.2 -23725.2 -23810.5 -24868.9 -25684.4 -25684.4 -25684.4 ]
2,[1.14878e+06 1.14878e+06 1.14878e+06 1.14878e+06 1.04141e+06 1.03766e+06 843066 784123 771678 643784 629815 591178 461752 418827 418827 369144 369144 327723 327723 320147 320147 305853 251378 248197 214218 214218 214218 214218 196010 169444 146476 146476 146476 137716 132713 128540 125949 124349 113699 97800.9 97800.9 97800.9 97800.9 97800.9 96293.8 93284.4 87503.1 86456.4 83939.6 82513.3 81082.9 72627.5 72627.5 70610.1 70390 65929.5 63495.6 62051.5 57704.2 57269.2 55243.2 51482 48574.9 48574.9 46571.4 46571.4 42952.3 41044.2 40631.3 38409.9 38409.9 35036.9 32734.1 32734.1 32138.5 30540.2 30540.2 30212.8 29467.5 26965.9 26965.9 26965.9 25040.2 25040.2 25040.2 24894 24894 24590.3 22753.2 22753.2 22753.2 22735 21942.4 21880.3 21880.3 21147.1 20336.3 20336.3 20336.3 20096.6 ]
3,[1.40036e+06 1.40036e+06 1.40036e+06 1.2529e+06 1.11052e+06 938921 938921 938921 661903 661903 661903 661903 626444 576388 536315 536315 499653 427713 350476 350476 350476 341768 298090 279750 264868 245689 222923 173003 173003 170034 153811 153811 153811 149366 149366 149356 136323 136323 133611 131507 129056 121984 114410 113088 109291 105654 102694 101910 101910 97014.2 97014.2 97014.2 94037.9 90019.7 90019.7 90019.7 85551.1 82764.2 81692.7 79725.3 77979 77231.7 75446.4 71407.5 70429.3 70429.3 67147.4 65015 59533.1 55175 55175 55175 55108.9 52417.7 50850.7 50713.2 49884.3 48161 47902.3 46392.3 44440.1 44440.1 41569.5 40846.8 40846.8 38313.4 35946.1 32683.7 32683.7 31087.9 31087.9 30744.7 30598.3 28835.5 28835.5 28835.5 28725.3 28219.1 26117.5 26117.5 ]
4,[1.62517e+06 1.53564e+06 1.30965e+06 1.04589e+06 1.04589e+06 1.03599e+06 861723 675887 587230 587230 587230 520766 465850 415089 395701 363148 303276 223803 209004 182137 182137 175145 158073 147417 134076 134076 134076 133472 129683 110764 108577 108577 98667.7 90085.2 90085.2 90085.2 84398.9 73039 73039 71232.3 67318.7 63293.8 60760.8 56847.2 52158.6 44719.9 44719.9 43101.6 40238.5 40238.5 39875 34464.7 34464.7 32743 30641.4 29216.7 29216.7 25445 24495.3 19961.1 19961.1 19961.1 16873.8 16705 15366.1 14099.8 13647.7 13647.7 13647.7 10795.3 5618.53 5618.53 5618.53 3254.92 3254.92 2902.59 2902.59 1479.78 792.64 136.114 -1763.99 -1763.99 -1763.99 -3219.3 -3219.3 -3219.3 -4726.64 -6719.5 -6719.5 -6719.5 -6719.5 -6922.22 -6922.22 -6922.22 -6922.22 -6922.22 -6922.22 -7521.62 -8112.97 -8692.18 ]
5,[1.75901e+06 1.64414e+06 1.63393e+06 1.36385e+06 1.31033e+06 1.03071e+06 1.03071e+06 958820 850289 850289 695074 695074 667478 553114 553114 482855 404228 398299 369578 299821 299821 245304 245304 245304 231635 216665 216665 195963 192652 169904 169904 154277 146364 115457 115457 106020 106020 104316 71706.9 71706.9 67761 66860.4 56379.1 56379.1 56379.1 54133.5 53028.5 50603.4 46912.5 43742.6 40997.6 40932.1 39777.7 36515.4 30649.7 28944.9 24982.5 24780.7 24780.7 24780.7 20834.5 15813.1 14578.8 13175.2 13175.2 10078.7 6660.82 6633.6 2748.7 -41.6221 -2743.97 -2743.97 -5178.98 -6935.53 -8914.47 -13656.2 -15316.9 -15316.9 -17825.6 -17889.1 -17889.1 -20967 -21318.7 -23515.3 -24838.2 -27779.1 -28204.8 -28204.8 -29652.7 -30976.2 -34245.3 -35756.6 -36146 -36146 -36146 -36682.1 -36963.1 -37084.8 -37841.5 -38075.5 ]
6,[1.40991e+06 1.40991e+06 1.40991e+06 1.40991e+06 1.26236e+06 1.01692e+06 1.01692e+06 1.01692e+06 900477 849912 717017 665634 553112 539544 539544 511412 439052 439052 409502 402967 376320 351702 327849 321397 263201 263201 225586 225586 214682 187521 187521 187521 179680 171848 168289 168289 153276 146133 146133 116708 109210 109210 105263 99772.8 93980.7 93980.7 93980.7 85980.6 85980.6 85980.6 85980.6 84560.9 84560.9 83224.6 80660.2 79961.6 75607.8 75291.4 75291.4 73683.7 73314.6 68569.8 68429.3 65700 65700 64990.4 62448.6 62448.6 61155.4 60704.8 58027.6 58027.6 54972.8 54972.8 53094.7 52858 49687.6 49682.5 49682.5 46704.4 46704.4 45546.8 45041.8 42390.3 41991.8 41240 40445.8 39247.8 39200.5 36922.6 36922.6 34726.5 34726.5 34515.6 33032.9 33032.9 31754.8 31754.8 31754.8 31501.9 ]
7,[1.4523e+06 1.4523e+06 1.29628e+06 1.23569e+06 982566 982566 661650 661650 661650 661650 661650 610176 498828 489947 378818 378818 378818 352084 298513 271176 234297 220431 186941 186941 186941 170820 139711 139711 139481 128503 121732 120844 103006 101323 87692.5 80311.5 80311.5 72069.2 72069.2 60902.1 57644.3 52554.6 50328 50328 48350.1 46561.5 44078.3 38911.8 38911.8 32185.8 29766.9 20769.6 20769.6 20769.6 20769.6 20769.6 20769.6 16377.2 16377.2 16377.2 15717.5 11798 11798 11034.7 11034.7 9494.13 8927.9 8748.71 8589.58 6684.01 6684.01 6585.64 5844.74 4364.67 3150.28 3150.28 3150.28 2438.47 2109.94 273.981 273.981 -154.156 -854.527 -1488.95 -1488.95 -1778.94 -2811.67 -2811.67 -3609.37 -3609.37 -3609.37 -3609.37 -3609.37 -3609.37 -3609.37 -3737.64 -3737.64 -5901.26 -5901.26 -5901.26 ]
8,[1.29871e+06 1.29871e+06 1.26012e+06 1.12963e+06 1.09522e+06 982681 973579 928255 864952 748955 730356 660552 612342 612342 592468 510495 510495 478736 457700 394146 391745 380082 365200 333846 293681 286817 273403 269751 250133 232616 206176 206176 194840 185362 184338 155431 155431 147931 147931 142242 142242 137064 116265 110668 110668 110668 108492 108492 108077 104679 99189 92496.2 90627.4 88277.7 85310.3 85310.3 82706.1 82288.3 75875.3 74132 71042.9 68122.2 64580.5 64109.7 62466 62448.5 62225.6 58772.8 58719.7 58294.8 55747.2 54789 54789 52845.5 52845.5 52845.5 50837.7 48053.2 48053.2 48053.2 48053.2 48053.2 45618.9 45618.9 45399.6 45399.6 44299.8 44299.8 42506.5 40800 40800 40800 40800 40166.4 40166.4 40166.4 40166.4 39537.3 39537.3 39537.3 ]
9,[1.59755e+06 1.53408e+06 1.3728e+06 1.3728e+06 1.34905e+06 1.11831e+06 981058 859027 859027 723336 691288 625291 534968 492193 408134 408134 373772 334290 271037 247797 220767 209285 179253 174757 174757 162289 148314 145754 144503 131651 131651 121062 121062 121062 120071 101575 101363 101363 98691 98328.4 91229.3 91229.3 88141 84581.6 82485.7 82037 74890.1 72657.3 63395.4 63395.4 63395.4 57752.2 57752.2 54305.3 48778.5 48778.5 48438 44781.2 44781.2 42411.4 41583.8 39855.3 38752.2 35118.2 33352.9 33352.9 30949.6 30603.2 29467.8 29393 25570.6 25570.6 24504.8 22795.2 20162.7 20162.7 20162.7 19033.1 16338.4 12820.1 12820.1 11209.6 11209.6 10125.4 9499.92 9499.92 9499.92 9311.56 5991.4 5991.4 5991.4 5188.4 4374.54 4374.54 4374.54 3898.73 3167.39 1550.53 1550.53 1550.53 ]
10,[1.44575e+06 1.44575e+06 1.44575e+06 1.27626e+06 1.27626e+06 926110 926110 860091 820762 820762 745897 684663 684663 500131 500131 500131 496921 472162 447557 383687 383687 312834 312834 292005 197908 197908 197908 184392 177843 177843 141962 127385 127385 116925 95958 95958 89572.5 75751.1 75751.1 69112.3 61088.3 60366.2 56579.2 56224.6 54115.2 53629.8 49876.1 49126.5 49126.5 49126.5 47824.7 46808.9 46592.4 46582.6 46454.4 45537.7 44798 44140.7 41665.7 41583.8 41398.5 40415.7 40180.2 38994.2 38726.4 38128.7 36426.9 36044.3 35616.3 33329.3 32934.2 32934.2 32900.8 32769.6 32126.2 31919.5 29847.7 29704.3 29310.8 29310.8 29310.8 28758.3 25461.7 25117.3 25117.3 25117.3 25117.3 25117.3 23623 22814.9 22814.9 21987.4 19656.3 19656.3 19518.3 18073.5 17967.5 17042.2 16444.4 14822 ]
