Run#,Result
1,-25684.4
2,20096.6
3,26117.5
4,-8692.18
5,-38075.5
6,31501.9
7,-5901.26
8,39537.3
9,1550.53
10,14822
11,-20472.5
12,-23626.8
13,6909.35
14,41785.2
15,-32174.1
16,-10746.6
17,-19278
18,-9620.96
19,-14093.6
20,15653.8
21,8413.08
22,1154.45
23,-23227.9
24,30772.9
25,88116.5
26,-4768.11
27,8673.13
28,2294.97
29,2416.08
30,-44826.3
31,21696.3
32,17041.7
33,-22256.8
34,18011.2
35,-17870.6
36,67939.5
37,-21006.9
38,-36042
39,-15459.6
40,22996.6
41,-44891.3
42,-13473.3
43,15084.6
44,25180
45,-40717.7
46,-5303.42
47,-14482.2
48,-13931.5
49,5698.9
50,-28697.9
