Run#,Result
1,5.26376e+07
2,3.24927e+08
3,2.15266e+08
4,2.48839e+08
5,2.89306e+07
6,1.69521e+08
7,6.05186e+08
8,1.38253e+07
9,1.24127e+08
10,8.5224e+07
11,2.08033e+08
12,4.9823e+08
13,6.99853e+08
14,2.20796e+08
15,1.64372e+08
16,7.42743e+07
17,3.28531e+08
18,3.31069e+08
19,1.54544e+08
20,3.18587e+08
21,3.39086e+08
22,7.44115e+07
23,3.16309e+08
24,4.04839e+08
25,2.5435e+08
26,6.45906e+07
27,2.76377e+08
28,1.11496e+08
29,1.81092e+08
30,8.37058e+07
31,5.1826e+08
32,3.18465e+07
33,1.8077e+08
34,1.96133e+08
35,5.92773e+08
36,1.74453e+08
37,7.18682e+08
38,2.73203e+08
39,2.05684e+08
40,3.29415e+07
41,6.14496e+08
42,1.24052e+08
43,3.23201e+08
44,3.52099e+08
45,1.02233e+08
46,1.67328e+08
47,5.69497e+08
48,5.44257e+08
49,5.65194e+08
50,2.62341e+08
