Run#,fBest
1,1105.06
2,1408.86
3,1633.35
4,1618.06
5,1952.47
6,2362.13
7,1499.36
8,1458.53
9,1167.13
10,1096.31
11,1557.32
12,1474.09
13,1643.72
14,1214.51
15,1235.8
16,1523.85
17,1550.72
18,1388.46
19,1131.31
20,1145.17
21,1146.49
22,1151.42
23,1308.57
24,1719.49
25,1127.31
26,1132.01
27,1701.29
28,1313.25
29,1548.19
30,1639.09
31,1753.32
32,2112.82
33,2134.49
34,1521.36
35,1592.33
36,960.967
37,1221.06
38,1336.31
39,1786.4
40,1339.34
41,1490.42
42,1466.17
43,848.465
44,1689.07
45,1704.71
46,1555.21
47,1846.83
48,1360.27
49,1158.84
50,1503.07
