Run#,Result
1,-37.161
2,-37.9769
3,-38.5081
4,-36.8581
5,-38.2984
6,-36.2477
7,-38.0024
8,-37.6513
9,-39.5304
10,-36.6991
11,-37.9996
12,-37.9297
13,-38.2879
14,-39.0669
15,-37.2913
16,-38.7525
17,-37.6493
18,-36.4415
19,-37.2532
20,-37.8841
21,-36.1784
22,-37.3299
23,-37.0101
24,-38.6562
25,-37.9354
26,-37.6187
27,-38.1167
28,-38.3774
29,-36.6088
30,-37.1346
31,-37.1923
32,-37.3052
33,-37.5244
34,-36.0517
35,-36.0009
36,-38.3993
37,-36.5625
38,-39.0877
39,-38.4845
40,-37.9093
41,-38.2568
42,-37.1352
43,-37.9478
44,-37.6646
45,-38.0517
46,-38.2621
47,-37.6602
48,-39.0559
49,-37.4597
50,-36.1145
