Run#,fBest
1,1148.22
2,3065.2
3,1493.31
4,2794.42
5,2575.79
6,1803.53
7,1970.01
8,2129.08
9,1939.49
10,1377.82
11,1000.06
12,1248.39
13,2118.54
14,3573.24
15,3022.08
16,2547.43
17,3118.3
18,890.057
19,1476.83
20,901.516
21,3451.3
22,1433.09
23,1477.14
24,1288.21
25,1757.12
26,2041.93
27,2116.09
28,2020.29
29,4440.7
30,1720.53
31,3404.13
32,1129.7
33,1055.89
34,1977.5
35,1834.94
36,3497.68
37,2292.31
38,1756.23
39,1327.75
40,2271.96
41,1772.74
42,1333.53
43,2354.87
44,1937.68
45,2174.39
46,774.968
47,1203.59
48,3624.08
49,3629.98
50,1003.9
