Strategy,Mean,Median,Std,low,high,Time(mus)
GA,133.586,132.211,21.5206,93.4007,181.566,422.92
DE1,34.66,30,12.743,29,88,755.38
DE2,80.94,81,3.8388,75,91,1004.78
DE3,29.74,30,0.82,29,33,804.26
DE4,80.9,81,6.56125,66,97,1081.68
DE5,235.3,234.5,9.41966,214,258,1380.78
DE6,67.22,69.5,26.7517,30,147,1078.72
DE7,126.58,126.5,6.40341,112,144,1488.8
DE8,32.98,30,7.08376,29,68,1131.58
DE9,95.64,95.5,15.7147,70,140,1616.18
DE10,376.3,380,13.2759,336,397,2155.32
PS0,271.719,272.37,48.8113,171.601,404.636,1814.88
MFO,188.088,184.429,44.0895,103.116,346.892,2194.94
CS,366.261,363.994,26.491,317.096,430.775,555.1
WOA,29.7443,29.7343,0.0621078,29.6881,29.8793,1615.46
