Function,Mean,Median,Std,Range(low),Range(high),Time(mus)
1,6367.89,6312.22,669.198,5206.11,7446.51,457.1
2,6303.49,6249.3,1607.84,3404.9,8998.93,409.5
3,3.78296e+08,2.93369e+08,2.18587e+08,1.69398e+08,8.37215e+08,410.8
4,879.077,828.984,141.1,697.017,1232.19,493.7
5,39.4563,38.0311,8.73215,28.3238,57.9285,453.9
6,-24.1341,-24.1496,0.702241,-25.4218,-22.785,557.5
7,49.7245,49.4185,1.90357,45.8168,52.7129,553.7
8,124.088,119.377,16.3176,93.2002,148.237,537.6
9,366.261,363.994,26.491,317.096,430.775,555.1
10,-7881.06,-7968.45,768.083,-9165.44,-6763.61,491.1
11,-7794.09,-7907.32,697.305,-8940.42,-6422.15,547.8
12,-6.38171,-6.18596,2.46735,-11.1153,-3.13929,367.8
13,-12.074,-12.0536,0.410743,-12.7058,-11.4866,555.9
14,-2.84104,-2.65219,0.601934,-4.41615,-2.35834,644.5
15,4.81384e+07,4.34677e+07,2.10456e+07,2.04608e+07,8.46703e+07,449.9
16,52.4811,46.306,11.918,42.5047,81.3921,547.9
17,6161.41,5976.5,1255.92,4622.96,8164.82,407.5
18,181.914,186.362,20.1549,155.861,215.467,450.2
