Strategy,Mean,Median,Std,Range(low),Range(high),Time(mius)
DE1,-12622.6,-12472.5,1840.68,-19529,-9843,835.08
DE2,-9527.9,-9492,522.409,-11337,-8381,1112.78
DE3,-9064,-9070.5,564.985,-10512,-8020,811.26
DE4,-10238.1,-10181,535.434,-12391,-9402,1334.88
DE5,-9560.76,-9493,407.05,-10693,-8941,1648.38
DE6,-16139.9,-15987,1218.48,-19188,-14117,1094.56
DE7,-6319.88,-6246,448.459,-7504,-5612,1646.8
DE8,-6451.02,-6351,658.159,-8498,-5191,1174.82
DE9,-7304.56,-7200.5,614.045,-9054,-6243,1931.28
DE10,-6482.92,-6387,485.883,-8260,-5679,2532.08
