Strategy,Mean,Median,Std,low,high,Time(mus)
GA,2211.76,2201.46,1000.77,569.597,5496.91,117.08
DE1,0.28,0,0.448999,0,1,353.86
DE2,1514.64,1504.5,176.132,1071,1802,448.8
DE3,0,0,0,0,0,347.88
DE4,852.16,878.5,182.892,434,1211,485.72
DE5,7038.38,6949.5,742.115,5591,8697,640.62
DE6,0.84,1,0.611882,0,3,494.56
DE7,2225.4,2192,260.237,1681,2760,685.1
DE8,0,0,0,0,0,516.94
DE9,835.54,812,298.862,296,1698,743.86
DE10,13432.5,13517.5,1230.12,9896,16983,1004.6
PSO,1200.38,0.0118296,3249.47,1.4927e-08,10000,1234.94
MFO,5747.58,5683.5,1702.59,2385.87,10405.1,2513.8
CS,6303.49,6249.3,1607.84,3404.9,8998.93,409.5
