Strategy,Mean,Median,Std,low,high,Time(mus)
GA,10.9869,9.68638,4.04782,3.70623,20.6534,145.84
DE1,1.02,1,0.14,1,2,351
DE2,9.6,9,1.2,7,12,467.32
DE3,1,1,0,1,1,363.26
DE4,5.74,6,1.30859,3,8,506.96
DE5,44.88,45,5.01055,30,56,660.76
DE6,1.84,2,0.578273,1,3,514.4
DE7,14.38,15,1.49519,10,17,705.3
DE8,1,1,0,1,1,532.8
DE9,4.88,5,1.53154,2,8,763.4
DE10,83.1,84,8.44097,60,100,1023.44
PSO,8.89763,0.0994725,21.7757,8.24674e-13,63.3424,1609.78
MFO,36.3898,34.4532,11.3639,17.9603,59.2523,2022.12
CS,39.4563,38.0311,8.73215,28.3238,57.9285,453.9
