Strategy,Mean,Median,Std,low,high,Time(mus)
GA,5.97079,4.92521,4.51866,1.44701,31.6831,213.04
DE1,3.7,3,4.30465,1,31,385.2
DE2,11.36,11.5,1.91583,6,15,508.52
DE3,0.44,0,0.535164,0,2,400.06
DE4,12.78,12,3.36624,7,20,549.36
DE5,32.52,32.5,4.39654,23,41,716.4
DE6,11.46,10,9.32354,2,58,544.94
DE7,20.24,20.5,2.55781,15,25,752.5
DE8,0.88,1,0.790949,0,4,567.9
DE9,22.86,22,7.24157,9,40,816.2
DE10,55.22,55.5,6.70609,43,71,1099.96
PSO,22.6544,22.7147,7.05471,9.72472,43.1741,2494.64
MFO,41.2083,38.5155,14.4798,18.9525,79.6705,2876.66
CS,52.4811,46.306,11.918,42.5047,81.3921,547.9
