Strategy,Mean,Median,Std,low,high,Time(mus)
GA,-11.9625,-11.967,1.9795,-7.56829,-18.3732,191.38
DE1,-4.08,-4,0.483322,-3,-5,393.66
DE2,-3.36,-3,0.557136,-3,-5,515.78
DE3,-4.2,-4,0.489898,-3,-6,388.26
DE4,-3.14,-3,0.490306,-2,-4,591.62
DE5,-3.06,-3,0.310483,-2,-4,753.34
DE6,-2.48,-2,0.574108,-2,-4,580.3
DE7,-2.14,-2,0.346987,-2,-3,784.76
DE8,-2.96,-3,0.397995,-2,-4,561.78
DE9,-2.06,-2,0.369324,-1,-3,918.34
DE10,-2.08,-2,0.271293,-2,-3,1178.4
PSO,-1.8779,-1.77067,0.410949,-2.94956,-1.27895,1988.1
MFO,-2.81039,-2.62756,0.616388,-5.09268,-2.15578,2679.4
CS,-2.84104,-2.65219,0.601934,-4.41615,-2.35834,644.5
