Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
GA,-26.3176,-26.3068,0.637671,-27.9389,-24.9171,224.14
DE1,-13.72,-14,0.775629,-16,-12,398.7
DE2,-13.34,-13,0.62,-16,-12,523.54
DE3,-14.08,-14,0.56,-15,-13,397.52
DE4,-12.92,-13,0.688186,-14,-12,593.3
DE5,-12.8,-13,0.565685,-14,-12,760.46
DE6,-12.02,-12,0.734575,-14,-11,565.12
DE7,-11.12,-11,0.65238,-13,-10,784.42
DE8,-12.42,-12,0.750733,-15,-11,572.8
DE9,-10.78,-11,0.729109,-13,-10,896.58
DE10,-10.66,-11,0.586856,-12,-10,1169.34
