Strategy,Mean,Median,Std,low,high,Time(mus)
GA,-10.6553,-10.3169,2.01158,-15.2122,-6.89124,156.96
DE1,2.16,2,0.966644,0,4,378.12
DE2,3.54,4,0.698856,1,5,510.2
DE3,2.46,3,0.698856,1,4,375.92
DE4,3.44,3.5,0.778717,2,5,583.44
DE5,3.38,3,0.66,2,4,756.3
DE6,5.02,5,1.31894,1,8,541.46
DE7,6.44,7,0.668132,5,7,776.14
DE8,5.6,6,0.774597,4,7,556.38
DE9,6.32,6,0.545527,5,7,893.96
DE10,6.58,7,0.602993,5,8,1183.9
PSO,-0.228768,-0.483867,2.49542,-7.8833,4.58436,1612.36
MFO,-8.7762,-8.95505,1.2941,-11.794,-6.09565,2209.22
CS,-6.38171,-6.18596,2.46735,-11.1153,-3.13929,367.8
