Strategy,Mean,Median,Std,Range(low),Range(high),Time(mius)
DE1,0,0,0,0,0,698.84
DE2,127476,127692,37980.7,46664,215190,933.18
DE3,0,0,0,0,0,724.16
DE4,22178.6,17784,14381.7,2832,73806,1009.38
DE5,1.45695e+07,1.48634e+07,3.19486e+06,8.01007e+06,2.21765e+07,1313.34
DE6,0.14,0,0.346987,0,1,1037.82
DE7,1.21549e+06,1.18309e+06,321852,511087,2.62293e+06,1429.88
DE8,0.08,0,0.337046,0,2,1083.32
DE9,54875,33093,74223.7,4877,447640,1550.56
DE10,1.2305e+08,1.27472e+08,2.58943e+07,5.2815e+07,1.74217e+08,2092.84
