Strategy,Mean,Median,Std,low,high,Time(mus)
GA,-10552.6,-10593,426.656,-11362.8,-9464.1,190.9
DE1,-6067.54,-6026,396.64,-7467,-5340,425.58
DE2,-5538.16,-5488,306.079,-6641,-5075,553
DE3,-5340.36,-5316,346.355,-6061,-4698,412.64
DE4,-5840.76,-5845.5,263.624,-6537,-5318,662.66
DE5,-5589.44,-5546.5,301.843,-6319,-4828,813.06
DE6,-4914.24,-4822.5,450.765,-6238,-4117,602.5
DE7,-4117.96,-4055.5,270.088,-4743,-3605,856.36
DE8,-3992.12,-3894.5,375.701,-5033,-3472,601.52
DE9,-4417.9,-4406,251.964,-5157,-3932,988.34
DE10,-4159.18,-4085,301.408,-5024,-3758,1252.78
PSO,-13658.1,-13661.6,94.6517,-14060.4,-13475.1,1944.52
MFO,-13539.2,-13554.7,93.6786,-13686.9,-13278.3,2687.1
CS,-7794.09,-7907.32,697.305,-8940.42,-6422.15,547.8
